 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Juli 06. 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Palladium in Palladium

 Ion = Palladium [46] . Mass = 105.903 amu

 Target Density =  1.2020E+01 g/cm3 = 6.8030E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pd     46    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.467E-02  2.046E+00      37 A        25 A        18 A   
  11.00 keV   9.929E-02  2.115E+00      39 A        26 A        19 A   
  12.00 keV   1.037E-01  2.179E+00      41 A        27 A        20 A   
  13.00 keV   1.079E-01  2.238E+00      43 A        28 A        20 A   
  14.00 keV   1.120E-01  2.292E+00      45 A        30 A        21 A   
  15.00 keV   1.159E-01  2.344E+00      47 A        31 A        22 A   
  16.00 keV   1.197E-01  2.391E+00      49 A        32 A        23 A   
  17.00 keV   1.234E-01  2.436E+00      51 A        33 A        24 A   
  18.00 keV   1.270E-01  2.479E+00      53 A        34 A        24 A   
  20.00 keV   1.339E-01  2.557E+00      57 A        36 A        26 A   
  22.50 keV   1.420E-01  2.644E+00      61 A        38 A        28 A   
  25.00 keV   1.497E-01  2.721E+00      66 A        41 A        29 A   
  27.50 keV   1.570E-01  2.790E+00      70 A        43 A        31 A   
  30.00 keV   1.640E-01  2.852E+00      74 A        45 A        32 A   
  32.50 keV   1.707E-01  2.909E+00      78 A        47 A        34 A   
  35.00 keV   1.771E-01  2.960E+00      82 A        49 A        36 A   
  37.50 keV   1.833E-01  3.008E+00      86 A        51 A        37 A   
  40.00 keV   1.893E-01  3.051E+00      90 A        53 A        39 A   
  45.00 keV   2.008E-01  3.128E+00      98 A        57 A        42 A   
