 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\120Sn_Si.txt

 Ion = Tin [50] , Mass = 120 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.588E+01  1.184E+03     121 A        39 A        30 A   
  11.00 keV   5.860E+01  1.221E+03     127 A        41 A        31 A   
  12.00 keV   6.121E+01  1.255E+03     134 A        43 A        32 A   
  13.00 keV   6.371E+01  1.287E+03     140 A        44 A        34 A   
  14.00 keV   6.612E+01  1.316E+03     146 A        46 A        35 A   
  15.00 keV   6.844E+01  1.343E+03     152 A        48 A        36 A   
  16.00 keV   7.068E+01  1.369E+03     158 A        49 A        38 A   
  17.00 keV   7.286E+01  1.392E+03     164 A        51 A        39 A   
  18.00 keV   7.497E+01  1.415E+03     170 A        52 A        40 A   
  20.00 keV   7.902E+01  1.456E+03     181 A        55 A        43 A   
  22.50 keV   8.382E+01  1.501E+03     195 A        58 A        45 A   
  25.00 keV   8.835E+01  1.540E+03     208 A        62 A        48 A   
  27.50 keV   9.266E+01  1.575E+03     221 A        65 A        51 A   
  30.00 keV   9.678E+01  1.607E+03     233 A        68 A        53 A   
  32.50 keV   1.007E+02  1.635E+03     246 A        71 A        56 A   
  35.00 keV   1.045E+02  1.661E+03     258 A        74 A        58 A   
  37.50 keV   1.082E+02  1.684E+03     270 A        77 A        61 A   
  40.00 keV   1.118E+02  1.706E+03     282 A        80 A        63 A   
  45.00 keV   1.185E+02  1.743E+03     306 A        86 A        68 A   
  50.00 keV   1.249E+02  1.775E+03     329 A        91 A        73 A   
