 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 18, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\127In_194Pt.txt

 Ion = Indium [49] , Mass = 127 amu

 Target Density =  2.1450E+01 g/cm3 = 6.6583E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.983E-02  1.258E+00      28 A        23 A        17 A   
  11.00 keV   4.177E-02  1.305E+00      30 A        24 A        18 A   
  12.00 keV   4.363E-02  1.349E+00      31 A        25 A        19 A   
  13.00 keV   4.541E-02  1.390E+00      33 A        26 A        20 A   
  14.00 keV   4.712E-02  1.428E+00      34 A        27 A        21 A   
  15.00 keV   4.878E-02  1.464E+00      35 A        28 A        21 A   
  16.00 keV   5.038E-02  1.498E+00      37 A        29 A        22 A   
  17.00 keV   5.193E-02  1.530E+00      38 A        30 A        23 A   
  18.00 keV   5.343E-02  1.561E+00      40 A        31 A        24 A   
  20.00 keV   5.632E-02  1.617E+00      42 A        33 A        25 A   
  22.50 keV   5.974E-02  1.681E+00      45 A        35 A        26 A   
  25.00 keV   6.297E-02  1.738E+00      49 A        37 A        28 A   
  27.50 keV   6.605E-02  1.790E+00      52 A        39 A        30 A   
  30.00 keV   6.898E-02  1.837E+00      55 A        41 A        31 A   
  32.50 keV   7.180E-02  1.881E+00      58 A        43 A        32 A   
  35.00 keV   7.451E-02  1.921E+00      60 A        45 A        34 A   
  37.50 keV   7.712E-02  1.958E+00      63 A        47 A        35 A   
  40.00 keV   7.965E-02  1.993E+00      66 A        49 A        36 A   
  45.00 keV   8.449E-02  2.055E+00      72 A        53 A        39 A   
  50.00 keV   8.906E-02  2.110E+00      77 A        56 A        41 A   
