 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 18, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\127In_58Ni.txt

 Ion = Indium [49] , Mass = 127 amu

 Target Density =  8.8955E+00 g/cm3 = 9.2360E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.042E-01  3.528E+00      40 A        18 A        14 A   
  11.00 keV   1.093E-01  3.647E+00      42 A        19 A        14 A   
  12.00 keV   1.141E-01  3.756E+00      44 A        20 A        15 A   
  13.00 keV   1.188E-01  3.857E+00      46 A        21 A        15 A   
  14.00 keV   1.233E-01  3.951E+00      48 A        22 A        16 A   
  15.00 keV   1.276E-01  4.039E+00      50 A        23 A        17 A   
  16.00 keV   1.318E-01  4.121E+00      52 A        23 A        17 A   
  17.00 keV   1.358E-01  4.199E+00      54 A        24 A        18 A   
  18.00 keV   1.398E-01  4.272E+00      56 A        25 A        18 A   
  20.00 keV   1.473E-01  4.406E+00      60 A        26 A        19 A   
  22.50 keV   1.563E-01  4.555E+00      64 A        28 A        21 A   
  25.00 keV   1.647E-01  4.687E+00      69 A        29 A        22 A   
  27.50 keV   1.728E-01  4.805E+00      73 A        31 A        23 A   
  30.00 keV   1.805E-01  4.912E+00      77 A        32 A        24 A   
  32.50 keV   1.878E-01  5.009E+00      81 A        34 A        25 A   
  35.00 keV   1.949E-01  5.097E+00      85 A        35 A        27 A   
  37.50 keV   2.017E-01  5.178E+00      89 A        37 A        28 A   
  40.00 keV   2.084E-01  5.252E+00      93 A        38 A        29 A   
  45.00 keV   2.210E-01  5.385E+00     101 A        41 A        31 A   
  50.00 keV   2.330E-01  5.498E+00     109 A        43 A        33 A   
