 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 02, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\129Sb_Si.txt

 Ion = Antimony [51] , Mass = 129 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.340E-01  5.117E+00     123 A        39 A        29 A   
  11.00 keV   2.454E-01  5.282E+00     130 A        41 A        31 A   
  12.00 keV   2.563E-01  5.433E+00     136 A        42 A        32 A   
  13.00 keV   2.668E-01  5.573E+00     143 A        44 A        33 A   
  14.00 keV   2.769E-01  5.703E+00     149 A        46 A        35 A   
  15.00 keV   2.866E-01  5.824E+00     155 A        47 A        36 A   
  16.00 keV   2.960E-01  5.937E+00     161 A        49 A        37 A   
  17.00 keV   3.051E-01  6.043E+00     167 A        50 A        38 A   
  18.00 keV   3.139E-01  6.142E+00     172 A        52 A        40 A   
  20.00 keV   3.309E-01  6.325E+00     184 A        54 A        42 A   
  22.50 keV   3.510E-01  6.527E+00     197 A        58 A        45 A   
  25.00 keV   3.700E-01  6.706E+00     210 A        61 A        47 A   
  27.50 keV   3.880E-01  6.864E+00     223 A        64 A        50 A   
  30.00 keV   4.053E-01  7.007E+00     236 A        67 A        53 A   
  32.50 keV   4.218E-01  7.135E+00     249 A        70 A        55 A   
  35.00 keV   4.377E-01  7.252E+00     261 A        73 A        58 A   
  37.50 keV   4.531E-01  7.359E+00     273 A        76 A        60 A   
  40.00 keV   4.680E-01  7.456E+00     285 A        78 A        62 A   
  45.00 keV   4.964E-01  7.628E+00     308 A        84 A        67 A   
  50.00 keV   5.232E-01  7.774E+00     331 A        89 A        71 A   
