 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 02, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\130Sb_194Pt.txt

 Ion = Antimony [51] , Mass = 130 amu

 Target Density =  2.1450E+01 g/cm3 = 6.6583E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.868E-02  1.294E+00      28 A        22 A        17 A   
  11.00 keV   4.057E-02  1.343E+00      29 A        24 A        18 A   
  12.00 keV   4.237E-02  1.389E+00      31 A        25 A        19 A   
  13.00 keV   4.410E-02  1.432E+00      32 A        26 A        20 A   
  14.00 keV   4.577E-02  1.472E+00      34 A        27 A        20 A   
  15.00 keV   4.738E-02  1.509E+00      35 A        28 A        21 A   
  16.00 keV   4.893E-02  1.545E+00      36 A        29 A        22 A   
  17.00 keV   5.044E-02  1.578E+00      38 A        30 A        22 A   
  18.00 keV   5.190E-02  1.610E+00      39 A        30 A        23 A   
  20.00 keV   5.470E-02  1.669E+00      42 A        32 A        24 A   
  22.50 keV   5.802E-02  1.736E+00      45 A        34 A        26 A   
  25.00 keV   6.116E-02  1.796E+00      48 A        36 A        27 A   
  27.50 keV   6.415E-02  1.851E+00      51 A        38 A        29 A   
  30.00 keV   6.700E-02  1.900E+00      54 A        40 A        30 A   
  32.50 keV   6.974E-02  1.946E+00      56 A        42 A        32 A   
  35.00 keV   7.237E-02  1.988E+00      59 A        44 A        33 A   
  37.50 keV   7.491E-02  2.028E+00      62 A        46 A        34 A   
  40.00 keV   7.736E-02  2.064E+00      65 A        48 A        35 A   
  45.00 keV   8.206E-02  2.130E+00      70 A        52 A        38 A   
  50.00 keV   8.650E-02  2.188E+00      75 A        55 A        40 A   
