 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\132Sn_7Li.txt

 Ion = Tin [50] , Mass = 132 amu

 Target Density =  5.3400E-01 g/cm3 = 4.5939E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.423E-01  6.576E+00     462 A        70 A        54 A   
  11.00 keV   2.541E-01  6.762E+00     488 A        74 A        57 A   
  12.00 keV   2.654E-01  6.932E+00     513 A        77 A        60 A   
  13.00 keV   2.763E-01  7.087E+00     538 A        80 A        63 A   
  14.00 keV   2.867E-01  7.230E+00     562 A        83 A        65 A   
  15.00 keV   2.968E-01  7.362E+00     586 A        85 A        68 A   
  16.00 keV   3.065E-01  7.484E+00     609 A        88 A        70 A   
  17.00 keV   3.159E-01  7.598E+00     632 A        91 A        73 A   
  18.00 keV   3.251E-01  7.704E+00     654 A        93 A        75 A   
  20.00 keV   3.427E-01  7.897E+00     698 A        99 A        80 A   
  22.50 keV   3.635E-01  8.106E+00     752 A       105 A        86 A   
  25.00 keV   3.831E-01  8.288E+00     805 A       111 A        91 A   
  27.50 keV   4.018E-01  8.446E+00     856 A       117 A        97 A   
  30.00 keV   4.197E-01  8.586E+00     907 A       122 A       102 A   
  32.50 keV   4.368E-01  8.710E+00     957 A       128 A       107 A   
  35.00 keV   4.533E-01  8.820E+00    1006 A       133 A       112 A   
  37.50 keV   4.692E-01  8.919E+00    1054 A       138 A       117 A   
  40.00 keV   4.846E-01  9.007E+00    1102 A       143 A       122 A   
  45.00 keV   5.140E-01  9.158E+00    1196 A       153 A       132 A   
  50.00 keV   5.418E-01  9.282E+00    1289 A       163 A       141 A   
