 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 17, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\132Xe_154Gd.txt

 Ion = Xenon [54] , Mass = 132 amu

 Target Density =  7.9010E+00 g/cm3 = 3.0896E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Gd     64    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.386E-01  1.691E+00      64 A        47 A        33 A   
  11.00 keV   1.453E-01  1.755E+00      67 A        49 A        35 A   
  12.00 keV   1.518E-01  1.814E+00      71 A        51 A        37 A   
  13.00 keV   1.580E-01  1.869E+00      74 A        53 A        38 A   
  14.00 keV   1.640E-01  1.921E+00      77 A        55 A        39 A   
  15.00 keV   1.697E-01  1.969E+00      81 A        57 A        41 A   
  16.00 keV   1.753E-01  2.015E+00      84 A        59 A        42 A   
  17.00 keV   1.807E-01  2.058E+00      87 A        61 A        44 A   
  18.00 keV   1.859E-01  2.099E+00      90 A        63 A        45 A   
  20.00 keV   1.960E-01  2.175E+00      96 A        66 A        48 A   
  22.50 keV   2.078E-01  2.261E+00     103 A        71 A        51 A   
  25.00 keV   2.191E-01  2.338E+00     110 A        75 A        54 A   
  27.50 keV   2.298E-01  2.408E+00     116 A        79 A        56 A   
  30.00 keV   2.400E-01  2.472E+00     123 A        82 A        59 A   
  32.50 keV   2.498E-01  2.530E+00     129 A        86 A        62 A   
  35.00 keV   2.592E-01  2.584E+00     136 A        90 A        65 A   
  37.50 keV   2.683E-01  2.634E+00     142 A        93 A        67 A   
  40.00 keV   2.771E-01  2.681E+00     148 A        97 A        70 A   
  45.00 keV   2.939E-01  2.765E+00     160 A       103 A        75 A   
  50.00 keV   3.098E-01  2.839E+00     172 A       110 A        79 A   
