 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 17, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\132Xe_162Dy.txt

 Ion = Xenon [54] , Mass = 132 amu

 Target Density =  8.5510E+00 g/cm3 = 3.1786E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Dy     66    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.813E-02  1.600E+00      62 A        46 A        34 A   
  11.00 keV   9.243E-02  1.660E+00      65 A        49 A        35 A   
  12.00 keV   9.654E-02  1.716E+00      68 A        51 A        37 A   
  13.00 keV   1.005E-01  1.769E+00      71 A        53 A        38 A   
  14.00 keV   1.043E-01  1.818E+00      75 A        55 A        39 A   
  15.00 keV   1.079E-01  1.864E+00      78 A        57 A        41 A   
  16.00 keV   1.115E-01  1.907E+00      81 A        59 A        42 A   
  17.00 keV   1.149E-01  1.948E+00      84 A        61 A        43 A   
  18.00 keV   1.182E-01  1.987E+00      87 A        63 A        45 A   
  20.00 keV   1.246E-01  2.059E+00      92 A        66 A        47 A   
  22.50 keV   1.322E-01  2.141E+00      99 A        71 A        51 A   
  25.00 keV   1.393E-01  2.214E+00     106 A        75 A        54 A   
  27.50 keV   1.461E-01  2.280E+00     112 A        79 A        56 A   
  30.00 keV   1.526E-01  2.341E+00     119 A        83 A        59 A   
  32.50 keV   1.589E-01  2.396E+00     125 A        86 A        62 A   
  35.00 keV   1.649E-01  2.448E+00     131 A        90 A        65 A   
  37.50 keV   1.707E-01  2.495E+00     137 A        94 A        67 A   
  40.00 keV   1.763E-01  2.540E+00     143 A        97 A        70 A   
  45.00 keV   1.870E-01  2.620E+00     155 A       104 A        75 A   
  50.00 keV   1.971E-01  2.690E+00     167 A       111 A        80 A   
