 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 12, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\134Sn_206Pb.txt

 Ion = Tin [50] , Mass = 134 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.584E-02  1.218E+00      54 A        45 A        34 A   
  11.00 keV   4.808E-02  1.265E+00      57 A        47 A        36 A   
  12.00 keV   5.022E-02  1.308E+00      60 A        49 A        37 A   
  13.00 keV   5.227E-02  1.348E+00      63 A        51 A        39 A   
  14.00 keV   5.424E-02  1.386E+00      66 A        53 A        40 A   
  15.00 keV   5.614E-02  1.422E+00      69 A        55 A        42 A   
  16.00 keV   5.798E-02  1.455E+00      71 A        57 A        43 A   
  17.00 keV   5.977E-02  1.487E+00      74 A        59 A        45 A   
  18.00 keV   6.150E-02  1.517E+00      77 A        61 A        46 A   
  20.00 keV   6.483E-02  1.573E+00      82 A        64 A        49 A   
  22.50 keV   6.876E-02  1.637E+00      88 A        68 A        52 A   
  25.00 keV   7.248E-02  1.694E+00      94 A        72 A        55 A   
  27.50 keV   7.602E-02  1.745E+00     100 A        76 A        58 A   
  30.00 keV   7.940E-02  1.793E+00     105 A        80 A        60 A   
  32.50 keV   8.264E-02  1.836E+00     111 A        84 A        63 A   
  35.00 keV   8.576E-02  1.876E+00     117 A        88 A        66 A   
  37.50 keV   8.877E-02  1.914E+00     122 A        92 A        68 A   
  40.00 keV   9.168E-02  1.948E+00     127 A        95 A        71 A   
  45.00 keV   9.724E-02  2.011E+00     138 A       102 A        76 A   
  50.00 keV   1.025E-01  2.067E+00     148 A       109 A        81 A   
