 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 12, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\134Sn_Si.txt

 Ion = Tin [50] , Mass = 134 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.278E-01  5.048E+00     126 A        39 A        29 A   
  11.00 keV   2.389E-01  5.211E+00     133 A        41 A        31 A   
  12.00 keV   2.496E-01  5.361E+00     139 A        43 A        32 A   
  13.00 keV   2.597E-01  5.500E+00     146 A        44 A        34 A   
  14.00 keV   2.696E-01  5.628E+00     152 A        46 A        35 A   
  15.00 keV   2.790E-01  5.748E+00     158 A        47 A        36 A   
  16.00 keV   2.882E-01  5.859E+00     164 A        49 A        37 A   
  17.00 keV   2.970E-01  5.964E+00     170 A        50 A        39 A   
  18.00 keV   3.056E-01  6.063E+00     176 A        52 A        40 A   
  20.00 keV   3.222E-01  6.244E+00     187 A        55 A        42 A   
  22.50 keV   3.417E-01  6.444E+00     201 A        58 A        45 A   
  25.00 keV   3.602E-01  6.621E+00     215 A        61 A        48 A   
  27.50 keV   3.778E-01  6.778E+00     228 A        64 A        50 A   
  30.00 keV   3.946E-01  6.919E+00     241 A        67 A        53 A   
  32.50 keV   4.107E-01  7.047E+00     254 A        70 A        55 A   
  35.00 keV   4.262E-01  7.163E+00     266 A        73 A        58 A   
  37.50 keV   4.412E-01  7.268E+00     278 A        76 A        60 A   
  40.00 keV   4.556E-01  7.365E+00     290 A        79 A        62 A   
  45.00 keV   4.833E-01  7.535E+00     314 A        84 A        67 A   
  50.00 keV   5.094E-01  7.681E+00     338 A        89 A        71 A   
