 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ce_208Pb.txt

 Ion = Cerium [58] , Mass = 144 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.345E-02  1.324E+00      52 A        43 A        32 A   
  11.00 keV   4.557E-02  1.376E+00      55 A        45 A        34 A   
  12.00 keV   4.759E-02  1.425E+00      58 A        47 A        35 A   
  13.00 keV   4.954E-02  1.471E+00      61 A        49 A        37 A   
  14.00 keV   5.141E-02  1.514E+00      63 A        50 A        38 A   
  15.00 keV   5.321E-02  1.554E+00      66 A        52 A        39 A   
  16.00 keV   5.495E-02  1.593E+00      68 A        54 A        41 A   
  17.00 keV   5.665E-02  1.629E+00      71 A        56 A        42 A   
  18.00 keV   5.829E-02  1.664E+00      73 A        57 A        43 A   
  20.00 keV   6.144E-02  1.728E+00      78 A        61 A        46 A   
  22.50 keV   6.517E-02  1.801E+00      84 A        64 A        48 A   
  25.00 keV   6.869E-02  1.867E+00      89 A        68 A        51 A   
  27.50 keV   7.205E-02  1.927E+00      95 A        72 A        54 A   
  30.00 keV   7.525E-02  1.982E+00     100 A        76 A        56 A   
  32.50 keV   7.832E-02  2.033E+00     105 A        79 A        59 A   
  35.00 keV   8.128E-02  2.081E+00     110 A        82 A        61 A   
  37.50 keV   8.413E-02  2.125E+00     115 A        86 A        63 A   
  40.00 keV   8.689E-02  2.166E+00     120 A        89 A        66 A   
  45.00 keV   9.216E-02  2.240E+00     130 A        96 A        70 A   
  50.00 keV   9.715E-02  2.307E+00     139 A       102 A        74 A   
