 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ce_Si.txt

 Ion = Cerium [58] , Mass = 144 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.180E-01  5.368E+00     123 A        38 A        28 A   
  11.00 keV   2.286E-01  5.552E+00     130 A        39 A        29 A   
  12.00 keV   2.388E-01  5.722E+00     136 A        41 A        31 A   
  13.00 keV   2.486E-01  5.879E+00     142 A        43 A        32 A   
  14.00 keV   2.579E-01  6.025E+00     148 A        44 A        33 A   
  15.00 keV   2.670E-01  6.162E+00     154 A        45 A        34 A   
  16.00 keV   2.758E-01  6.291E+00     159 A        47 A        36 A   
  17.00 keV   2.842E-01  6.412E+00     165 A        48 A        37 A   
  18.00 keV   2.925E-01  6.526E+00     170 A        50 A        38 A   
  20.00 keV   3.083E-01  6.736E+00     181 A        52 A        40 A   
  22.50 keV   3.270E-01  6.970E+00     194 A        55 A        43 A   
  25.00 keV   3.447E-01  7.179E+00     207 A        58 A        45 A   
  27.50 keV   3.615E-01  7.365E+00     219 A        61 A        47 A   
  30.00 keV   3.776E-01  7.534E+00     231 A        64 A        50 A   
  32.50 keV   3.930E-01  7.688E+00     243 A        67 A        52 A   
  35.00 keV   4.079E-01  7.828E+00     254 A        69 A        54 A   
  37.50 keV   4.222E-01  7.957E+00     266 A        72 A        57 A   
  40.00 keV   4.360E-01  8.076E+00     277 A        74 A        59 A   
  45.00 keV   4.625E-01  8.287E+00     299 A        79 A        63 A   
  50.00 keV   4.875E-01  8.470E+00     320 A        84 A        67 A   
