 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 20, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\144Cs_7Li.txt

 Ion = Cesium [55] , Mass = 144 amu

 Target Density =  5.3400E-01 g/cm3 = 4.5939E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.489E-01  6.748E+00     463 A        69 A        53 A   
  11.00 keV   2.611E-01  6.952E+00     489 A        72 A        55 A   
  12.00 keV   2.727E-01  7.138E+00     513 A        75 A        58 A   
  13.00 keV   2.838E-01  7.309E+00     537 A        78 A        60 A   
  14.00 keV   2.945E-01  7.466E+00     561 A        81 A        63 A   
  15.00 keV   3.049E-01  7.612E+00     584 A        83 A        65 A   
  16.00 keV   3.149E-01  7.749E+00     606 A        86 A        68 A   
  17.00 keV   3.246E-01  7.876E+00     628 A        89 A        70 A   
  18.00 keV   3.340E-01  7.995E+00     650 A        91 A        72 A   
  20.00 keV   3.520E-01  8.212E+00     693 A        96 A        77 A   
  22.50 keV   3.734E-01  8.450E+00     745 A       102 A        82 A   
  25.00 keV   3.936E-01  8.658E+00     795 A       107 A        87 A   
  27.50 keV   4.128E-01  8.842E+00     845 A       113 A        92 A   
  30.00 keV   4.312E-01  9.005E+00     893 A       118 A        97 A   
  32.50 keV   4.488E-01  9.151E+00     940 A       123 A       102 A   
  35.00 keV   4.657E-01  9.282E+00     987 A       128 A       107 A   
  37.50 keV   4.821E-01  9.401E+00    1033 A       133 A       111 A   
  40.00 keV   4.979E-01  9.508E+00    1079 A       138 A       116 A   
  45.00 keV   5.281E-01  9.695E+00    1168 A       147 A       125 A   
  50.00 keV   5.566E-01  9.851E+00    1256 A       156 A       133 A   
