 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 16, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\146Ce_206Pb.txt

 Ion = Cerium [58] , Mass = 146 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.357E-02  1.350E+00      52 A        42 A        32 A   
  11.00 keV   4.569E-02  1.403E+00      55 A        44 A        33 A   
  12.00 keV   4.772E-02  1.453E+00      58 A        46 A        35 A   
  13.00 keV   4.967E-02  1.500E+00      60 A        48 A        36 A   
  14.00 keV   5.155E-02  1.544E+00      63 A        50 A        37 A   
  15.00 keV   5.336E-02  1.585E+00      65 A        51 A        39 A   
  16.00 keV   5.511E-02  1.624E+00      68 A        53 A        40 A   
  17.00 keV   5.680E-02  1.662E+00      70 A        55 A        41 A   
  18.00 keV   5.845E-02  1.697E+00      73 A        57 A        42 A   
  20.00 keV   6.161E-02  1.763E+00      77 A        60 A        45 A   
  22.50 keV   6.535E-02  1.838E+00      83 A        64 A        47 A   
  25.00 keV   6.888E-02  1.905E+00      89 A        67 A        50 A   
  27.50 keV   7.225E-02  1.967E+00      94 A        71 A        53 A   
  30.00 keV   7.546E-02  2.023E+00      99 A        75 A        55 A   
  32.50 keV   7.854E-02  2.075E+00     104 A        78 A        58 A   
  35.00 keV   8.150E-02  2.124E+00     109 A        81 A        60 A   
  37.50 keV   8.436E-02  2.169E+00     114 A        85 A        62 A   
  40.00 keV   8.713E-02  2.211E+00     119 A        88 A        64 A   
  45.00 keV   9.242E-02  2.287E+00     129 A        94 A        69 A   
  50.00 keV   9.742E-02  2.355E+00     138 A       100 A        73 A   
