 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 21, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\146Ce_208Pb.txt

 Ion = Cerium [58] , Mass = 146 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.315E-02  1.331E+00      52 A        43 A        32 A   
  11.00 keV   4.525E-02  1.384E+00      55 A        45 A        34 A   
  12.00 keV   4.726E-02  1.433E+00      58 A        47 A        35 A   
  13.00 keV   4.919E-02  1.479E+00      61 A        48 A        37 A   
  14.00 keV   5.105E-02  1.523E+00      63 A        50 A        38 A   
  15.00 keV   5.284E-02  1.564E+00      66 A        52 A        39 A   
  16.00 keV   5.458E-02  1.602E+00      68 A        54 A        41 A   
  17.00 keV   5.626E-02  1.639E+00      71 A        55 A        42 A   
  18.00 keV   5.789E-02  1.674E+00      73 A        57 A        43 A   
  20.00 keV   6.102E-02  1.739E+00      78 A        60 A        45 A   
  22.50 keV   6.472E-02  1.812E+00      84 A        64 A        48 A   
  25.00 keV   6.822E-02  1.879E+00      89 A        68 A        51 A   
  27.50 keV   7.155E-02  1.939E+00      95 A        72 A        53 A   
  30.00 keV   7.473E-02  1.995E+00     100 A        75 A        56 A   
  32.50 keV   7.778E-02  2.046E+00     105 A        79 A        58 A   
  35.00 keV   8.072E-02  2.094E+00     110 A        82 A        61 A   
  37.50 keV   8.355E-02  2.138E+00     115 A        86 A        63 A   
  40.00 keV   8.629E-02  2.180E+00     120 A        89 A        65 A   
  45.00 keV   9.153E-02  2.255E+00     130 A        95 A        70 A   
  50.00 keV   9.648E-02  2.322E+00     139 A       102 A        74 A   
