 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 16, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\146Ce_60Ni.txt

 Ion = Cerium [58] , Mass = 146 amu

 Target Density =  8.8955E+00 g/cm3 = 8.9281E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.086E-02  3.710E+00      40 A        18 A        13 A   
  11.00 keV   9.529E-02  3.844E+00      42 A        19 A        14 A   
  12.00 keV   9.953E-02  3.966E+00      44 A        20 A        14 A   
  13.00 keV   1.036E-01  4.081E+00      46 A        20 A        15 A   
  14.00 keV   1.075E-01  4.187E+00      48 A        21 A        16 A   
  15.00 keV   1.113E-01  4.287E+00      50 A        22 A        16 A   
  16.00 keV   1.149E-01  4.382E+00      52 A        23 A        17 A   
  17.00 keV   1.185E-01  4.470E+00      54 A        23 A        17 A   
  18.00 keV   1.219E-01  4.554E+00      56 A        24 A        18 A   
  20.00 keV   1.285E-01  4.709E+00      59 A        25 A        19 A   
  22.50 keV   1.363E-01  4.883E+00      64 A        27 A        20 A   
  25.00 keV   1.437E-01  5.038E+00      68 A        28 A        21 A   
  27.50 keV   1.507E-01  5.178E+00      72 A        30 A        22 A   
  30.00 keV   1.574E-01  5.306E+00      76 A        31 A        23 A   
  32.50 keV   1.638E-01  5.422E+00      80 A        32 A        24 A   
  35.00 keV   1.700E-01  5.528E+00      84 A        34 A        25 A   
  37.50 keV   1.759E-01  5.627E+00      87 A        35 A        26 A   
  40.00 keV   1.817E-01  5.718E+00      91 A        36 A        27 A   
  45.00 keV   1.927E-01  5.881E+00      98 A        39 A        29 A   
  50.00 keV   2.032E-01  6.024E+00     105 A        41 A        31 A   
