 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 17, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\154Gd_154Gd.txt

 Ion = Gadolinium [64] , Mass = 154 amu

 Target Density =  7.9010E+00 g/cm3 = 3.0896E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Gd     64    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.080E-01  1.916E+00      61 A        42 A        30 A   
  11.00 keV   2.182E-01  1.992E+00      64 A        44 A        31 A   
  12.00 keV   2.279E-01  2.063E+00      67 A        46 A        33 A   
  13.00 keV   2.372E-01  2.129E+00      70 A        47 A        34 A   
  14.00 keV   2.461E-01  2.191E+00      73 A        49 A        35 A   
  15.00 keV   2.548E-01  2.250E+00      76 A        51 A        36 A   
  16.00 keV   2.631E-01  2.306E+00      79 A        52 A        37 A   
  17.00 keV   2.712E-01  2.358E+00      82 A        54 A        39 A   
  18.00 keV   2.791E-01  2.408E+00      84 A        56 A        40 A   
  20.00 keV   2.942E-01  2.502E+00      90 A        58 A        42 A   
  22.50 keV   3.120E-01  2.607E+00      96 A        62 A        45 A   
  25.00 keV   3.289E-01  2.703E+00     102 A        65 A        47 A   
  27.50 keV   3.450E-01  2.790E+00     108 A        69 A        49 A   
  30.00 keV   3.603E-01  2.870E+00     114 A        72 A        52 A   
  32.50 keV   3.750E-01  2.944E+00     120 A        75 A        54 A   
  35.00 keV   3.892E-01  3.012E+00     125 A        78 A        56 A   
  37.50 keV   4.028E-01  3.076E+00     131 A        81 A        58 A   
  40.00 keV   4.160E-01  3.135E+00     136 A        84 A        60 A   
  45.00 keV   4.413E-01  3.243E+00     147 A        89 A        64 A   
  50.00 keV   4.651E-01  3.340E+00     157 A        94 A        68 A   
