 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 17, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\162Dy_162Dy.txt

 Ion = Dysprosium [66] , Mass = 162 amu

 Target Density =  8.5510E+00 g/cm3 = 3.1786E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Dy     66    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.245E-01  1.869E+00      59 A        42 A        30 A   
  11.00 keV   1.306E-01  1.945E+00      62 A        44 A        31 A   
  12.00 keV   1.364E-01  2.015E+00      65 A        45 A        32 A   
  13.00 keV   1.420E-01  2.080E+00      68 A        47 A        34 A   
  14.00 keV   1.473E-01  2.142E+00      71 A        49 A        35 A   
  15.00 keV   1.525E-01  2.200E+00      74 A        50 A        36 A   
  16.00 keV   1.575E-01  2.255E+00      76 A        52 A        37 A   
  17.00 keV   1.623E-01  2.307E+00      79 A        54 A        38 A   
  18.00 keV   1.670E-01  2.357E+00      82 A        55 A        39 A   
  20.00 keV   1.761E-01  2.450E+00      87 A        58 A        41 A   
  22.50 keV   1.868E-01  2.555E+00      93 A        61 A        44 A   
  25.00 keV   1.969E-01  2.651E+00      99 A        65 A        46 A   
  27.50 keV   2.065E-01  2.738E+00     105 A        68 A        49 A   
  30.00 keV   2.156E-01  2.818E+00     110 A        71 A        51 A   
  32.50 keV   2.245E-01  2.891E+00     116 A        74 A        53 A   
  35.00 keV   2.329E-01  2.960E+00     121 A        77 A        55 A   
  37.50 keV   2.411E-01  3.024E+00     126 A        80 A        58 A   
  40.00 keV   2.490E-01  3.084E+00     132 A        83 A        60 A   
  45.00 keV   2.641E-01  3.193E+00     142 A        88 A        64 A   
  50.00 keV   2.784E-01  3.290E+00     152 A        94 A        68 A   
