 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 17, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\16O_16O.txt.txt

 Ion = Oxygen [8] , Mass = 16 amu

 Target Density =  1.4260E+00 g/cm3 = 5.3671E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      O      8    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.276E-01  1.040E+00     398 A       178 A       125 A   
  11.00 keV   3.435E-01  1.023E+00     436 A       193 A       135 A   
  12.00 keV   3.588E-01  1.006E+00     475 A       207 A       145 A   
  13.00 keV   3.735E-01  9.897E-01     514 A       222 A       155 A   
  14.00 keV   3.876E-01  9.735E-01     553 A       236 A       166 A   
  15.00 keV   4.012E-01  9.577E-01     593 A       250 A       176 A   
  16.00 keV   4.143E-01  9.424E-01     633 A       264 A       186 A   
  17.00 keV   4.271E-01  9.275E-01     673 A       278 A       196 A   
  18.00 keV   4.395E-01  9.130E-01     713 A       292 A       206 A   
  20.00 keV   4.632E-01  8.854E-01     794 A       319 A       226 A   
  22.50 keV   4.913E-01  8.533E-01     897 A       353 A       251 A   
  25.00 keV   5.179E-01  8.237E-01    1001 A       386 A       276 A   
  27.50 keV   5.432E-01  7.963E-01    1106 A       418 A       301 A   
  30.00 keV   5.674E-01  7.709E-01    1212 A       449 A       326 A   
  32.50 keV   5.908E-01  7.473E-01    1318 A       480 A       351 A   
  35.00 keV   6.138E-01  7.253E-01    1425 A       510 A       376 A   
  37.50 keV   6.352E-01  7.048E-01    1533 A       540 A       401 A   
  40.00 keV   6.552E-01  6.856E-01    1641 A       569 A       426 A   
  45.00 keV   6.921E-01  6.507E-01    1858 A       625 A       475 A   
