 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 25, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\185Hg_Si.txt

 Ion = Mercury [80] , Mass = 185 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.696E-01  5.895E+00     117 A        32 A        23 A   
  11.00 keV   7.022E-01  6.124E+00     122 A        33 A        24 A   
  12.00 keV   7.335E-01  6.338E+00     128 A        34 A        25 A   
  13.00 keV   7.634E-01  6.538E+00     133 A        36 A        26 A   
  14.00 keV   7.922E-01  6.725E+00     138 A        37 A        27 A   
  15.00 keV   8.200E-01  6.902E+00     143 A        38 A        28 A   
  16.00 keV   8.469E-01  7.068E+00     148 A        39 A        29 A   
  17.00 keV   8.730E-01  7.227E+00     153 A        40 A        30 A   
  18.00 keV   8.983E-01  7.377E+00     157 A        41 A        31 A   
  20.00 keV   9.469E-01  7.656E+00     166 A        43 A        32 A   
  22.50 keV   1.004E+00  7.972E+00     177 A        45 A        34 A   
  25.00 keV   1.059E+00  8.257E+00     188 A        48 A        36 A   
  27.50 keV   1.110E+00  8.516E+00     198 A        50 A        38 A   
  30.00 keV   1.160E+00  8.754E+00     208 A        52 A        40 A   
  32.50 keV   1.207E+00  8.973E+00     217 A        54 A        41 A   
  35.00 keV   1.253E+00  9.175E+00     227 A        56 A        43 A   
  37.50 keV   1.297E+00  9.364E+00     236 A        58 A        45 A   
  40.00 keV   1.339E+00  9.539E+00     245 A        59 A        46 A   
  45.00 keV   1.420E+00  9.858E+00     262 A        63 A        49 A   
  50.00 keV   1.497E+00  1.014E+01     279 A        66 A        52 A   
