 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 25, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\206Pb_Si.txt

 Ion = Lead [82] , Mass = 206 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.249E-01  5.806E+00     122 A        32 A        23 A   
  11.00 keV   6.554E-01  6.037E+00     128 A        33 A        24 A   
  12.00 keV   6.846E-01  6.253E+00     134 A        35 A        25 A   
  13.00 keV   7.125E-01  6.455E+00     139 A        36 A        26 A   
  14.00 keV   7.394E-01  6.645E+00     144 A        37 A        27 A   
  15.00 keV   7.654E-01  6.824E+00     149 A        38 A        28 A   
  16.00 keV   7.905E-01  6.994E+00     154 A        39 A        29 A   
  17.00 keV   8.148E-01  7.154E+00     159 A        40 A        30 A   
  18.00 keV   8.384E-01  7.307E+00     164 A        41 A        31 A   
  20.00 keV   8.838E-01  7.592E+00     173 A        43 A        32 A   
  22.50 keV   9.374E-01  7.916E+00     184 A        45 A        34 A   
  25.00 keV   9.881E-01  8.208E+00     195 A        48 A        36 A   
  27.50 keV   1.036E+00  8.474E+00     206 A        50 A        38 A   
  30.00 keV   1.082E+00  8.719E+00     216 A        52 A        39 A   
  32.50 keV   1.127E+00  8.945E+00     225 A        54 A        41 A   
  35.00 keV   1.169E+00  9.155E+00     235 A        56 A        43 A   
  37.50 keV   1.210E+00  9.350E+00     244 A        57 A        44 A   
  40.00 keV   1.250E+00  9.533E+00     253 A        59 A        46 A   
  45.00 keV   1.326E+00  9.865E+00     271 A        63 A        49 A   
  50.00 keV   1.397E+00  1.016E+01     288 A        66 A        51 A   
