 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 28, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\214Ra_58Ni.txt

 Ion = Radium [88] , Mass = 214 amu

 Target Density =  8.8955E+00 g/cm3 = 9.2360E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.000E-01  4.469E+00      39 A        15 A        11 A   
  11.00 keV   3.146E-01  4.656E+00      41 A        15 A        11 A   
  12.00 keV   3.286E-01  4.831E+00      42 A        16 A        12 A   
  13.00 keV   3.421E-01  4.995E+00      44 A        16 A        12 A   
  14.00 keV   3.550E-01  5.150E+00      46 A        17 A        12 A   
  15.00 keV   3.674E-01  5.296E+00      47 A        18 A        13 A   
  16.00 keV   3.795E-01  5.435E+00      49 A        18 A        13 A   
  17.00 keV   3.912E-01  5.567E+00      50 A        18 A        14 A   
  18.00 keV   4.025E-01  5.693E+00      52 A        19 A        14 A   
  20.00 keV   4.243E-01  5.929E+00      55 A        20 A        15 A   
  22.50 keV   4.500E-01  6.198E+00      58 A        21 A        16 A   
  25.00 keV   4.743E-01  6.442E+00      62 A        22 A        16 A   
  27.50 keV   4.975E-01  6.666E+00      65 A        23 A        17 A   
  30.00 keV   5.196E-01  6.872E+00      68 A        24 A        18 A   
  32.50 keV   5.408E-01  7.063E+00      71 A        25 A        19 A   
  35.00 keV   5.613E-01  7.242E+00      74 A        26 A        19 A   
  37.50 keV   5.810E-01  7.409E+00      77 A        26 A        20 A   
  40.00 keV   6.000E-01  7.565E+00      80 A        27 A        21 A   
  45.00 keV   6.364E-01  7.852E+00      85 A        29 A        22 A   
  50.00 keV   6.708E-01  8.109E+00      91 A        30 A        23 A   
