 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\220Rn_112Cd.txt

 Ion = Radon [86] , Mass = 220 amu

 Target Density =  8.6420E+00 g/cm3 = 4.6466E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cd     48    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.072E-01  2.952E+00      50 A        26 A        19 A   
  11.00 keV   2.173E-01  3.077E+00      53 A        27 A        20 A   
  12.00 keV   2.269E-01  3.195E+00      55 A        28 A        21 A   
  13.00 keV   2.362E-01  3.306E+00      57 A        29 A        21 A   
  14.00 keV   2.451E-01  3.410E+00      59 A        30 A        22 A   
  15.00 keV   2.537E-01  3.509E+00      62 A        31 A        23 A   
  16.00 keV   2.620E-01  3.603E+00      64 A        32 A        23 A   
  17.00 keV   2.701E-01  3.693E+00      66 A        33 A        24 A   
  18.00 keV   2.779E-01  3.778E+00      68 A        34 A        25 A   
  20.00 keV   2.930E-01  3.938E+00      72 A        36 A        26 A   
  22.50 keV   3.107E-01  4.121E+00      76 A        38 A        27 A   
  25.00 keV   3.276E-01  4.287E+00      81 A        39 A        29 A   
  27.50 keV   3.435E-01  4.440E+00      85 A        41 A        30 A   
  30.00 keV   3.588E-01  4.582E+00      89 A        43 A        31 A   
  32.50 keV   3.735E-01  4.713E+00      93 A        45 A        33 A   
  35.00 keV   3.876E-01  4.835E+00      97 A        46 A        34 A   
  37.50 keV   4.012E-01  4.950E+00     101 A        48 A        35 A   
  40.00 keV   4.143E-01  5.058E+00     105 A        49 A        36 A   
  45.00 keV   4.395E-01  5.256E+00     112 A        52 A        38 A   
  50.00 keV   4.632E-01  5.434E+00     120 A        55 A        41 A   
