 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\220Rn_60Ni.txt

 Ion = Radon [86] , Mass = 220 amu

 Target Density =  8.8955E+00 g/cm3 = 8.9281E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.815E-01  4.286E+00      40 A        15 A        11 A   
  11.00 keV   2.953E-01  4.464E+00      42 A        16 A        12 A   
  12.00 keV   3.084E-01  4.631E+00      44 A        17 A        12 A   
  13.00 keV   3.210E-01  4.788E+00      46 A        17 A        13 A   
  14.00 keV   3.331E-01  4.935E+00      47 A        18 A        13 A   
  15.00 keV   3.448E-01  5.074E+00      49 A        18 A        13 A   
  16.00 keV   3.561E-01  5.207E+00      51 A        19 A        14 A   
  17.00 keV   3.671E-01  5.332E+00      52 A        19 A        14 A   
  18.00 keV   3.777E-01  5.452E+00      54 A        20 A        15 A   
  20.00 keV   3.981E-01  5.677E+00      57 A        21 A        15 A   
  22.50 keV   4.223E-01  5.932E+00      61 A        22 A        16 A   
  25.00 keV   4.451E-01  6.164E+00      64 A        23 A        17 A   
  27.50 keV   4.669E-01  6.376E+00      68 A        24 A        18 A   
  30.00 keV   4.876E-01  6.572E+00      71 A        25 A        19 A   
  32.50 keV   5.075E-01  6.754E+00      74 A        26 A        19 A   
  35.00 keV   5.267E-01  6.923E+00      77 A        27 A        20 A   
  37.50 keV   5.452E-01  7.081E+00      80 A        28 A        21 A   
  40.00 keV   5.631E-01  7.230E+00      83 A        29 A        22 A   
  45.00 keV   5.972E-01  7.501E+00      89 A        30 A        23 A   
  50.00 keV   6.295E-01  7.744E+00      95 A        32 A        24 A   
