 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\222Ra_120Sn.txt

 Ion = Radium [88] , Mass = 222 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6541E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.690E-01  2.816E+00      60 A        32 A        23 A   
  11.00 keV   2.822E-01  2.937E+00      63 A        33 A        24 A   
  12.00 keV   2.947E-01  3.050E+00      66 A        35 A        25 A   
  13.00 keV   3.068E-01  3.156E+00      69 A        36 A        26 A   
  14.00 keV   3.183E-01  3.256E+00      71 A        37 A        27 A   
  15.00 keV   3.295E-01  3.351E+00      74 A        38 A        28 A   
  16.00 keV   3.403E-01  3.441E+00      76 A        39 A        29 A   
  17.00 keV   3.508E-01  3.527E+00      79 A        40 A        29 A   
  18.00 keV   3.610E-01  3.610E+00      81 A        41 A        30 A   
  20.00 keV   3.805E-01  3.763E+00      86 A        43 A        32 A   
  22.50 keV   4.036E-01  3.939E+00      91 A        46 A        33 A   
  25.00 keV   4.254E-01  4.099E+00      97 A        48 A        35 A   
  27.50 keV   4.462E-01  4.247E+00     102 A        50 A        37 A   
  30.00 keV   4.660E-01  4.383E+00     107 A        52 A        38 A   
  32.50 keV   4.850E-01  4.509E+00     112 A        55 A        40 A   
  35.00 keV   5.033E-01  4.627E+00     117 A        56 A        41 A   
  37.50 keV   5.210E-01  4.738E+00     121 A        58 A        43 A   
  40.00 keV   5.381E-01  4.842E+00     126 A        60 A        44 A   
  45.00 keV   5.707E-01  5.033E+00     135 A        64 A        47 A   
  50.00 keV   6.016E-01  5.205E+00     143 A        67 A        50 A   
