 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\224Ra_112Cd.txt

 Ion = Radium [88] , Mass = 224 amu

 Target Density =  8.6420E+00 g/cm3 = 4.6466E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cd     48    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.086E-01  2.980E+00      50 A        26 A        19 A   
  11.00 keV   2.188E-01  3.108E+00      53 A        27 A        20 A   
  12.00 keV   2.285E-01  3.227E+00      55 A        28 A        20 A   
  13.00 keV   2.378E-01  3.340E+00      57 A        29 A        21 A   
  14.00 keV   2.468E-01  3.446E+00      59 A        30 A        22 A   
  15.00 keV   2.555E-01  3.547E+00      62 A        31 A        23 A   
  16.00 keV   2.638E-01  3.642E+00      64 A        32 A        23 A   
  17.00 keV   2.720E-01  3.733E+00      66 A        33 A        24 A   
  18.00 keV   2.798E-01  3.820E+00      68 A        34 A        24 A   
  20.00 keV   2.950E-01  3.983E+00      71 A        35 A        26 A   
  22.50 keV   3.129E-01  4.170E+00      76 A        37 A        27 A   
  25.00 keV   3.298E-01  4.340E+00      80 A        39 A        28 A   
  27.50 keV   3.459E-01  4.496E+00      85 A        41 A        30 A   
  30.00 keV   3.613E-01  4.640E+00      89 A        43 A        31 A   
  32.50 keV   3.760E-01  4.774E+00      93 A        44 A        32 A   
  35.00 keV   3.902E-01  4.899E+00      97 A        46 A        34 A   
  37.50 keV   4.039E-01  5.017E+00     101 A        47 A        35 A   
  40.00 keV   4.172E-01  5.127E+00     105 A        49 A        36 A   
  45.00 keV   4.425E-01  5.330E+00     112 A        52 A        38 A   
  50.00 keV   4.664E-01  5.512E+00     119 A        54 A        40 A   
