 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\224Ra_60Ni.txt

 Ion = Radium [88] , Mass = 224 amu

 Target Density =  8.8955E+00 g/cm3 = 8.9281E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.835E-01  4.314E+00      40 A        15 A        11 A   
  11.00 keV   2.973E-01  4.495E+00      42 A        16 A        12 A   
  12.00 keV   3.105E-01  4.664E+00      44 A        16 A        12 A   
  13.00 keV   3.232E-01  4.822E+00      46 A        17 A        12 A   
  14.00 keV   3.354E-01  4.972E+00      47 A        18 A        13 A   
  15.00 keV   3.472E-01  5.113E+00      49 A        18 A        13 A   
  16.00 keV   3.585E-01  5.248E+00      51 A        19 A        14 A   
  17.00 keV   3.696E-01  5.376E+00      52 A        19 A        14 A   
  18.00 keV   3.803E-01  5.497E+00      54 A        20 A        14 A   
  20.00 keV   4.009E-01  5.725E+00      57 A        21 A        15 A   
  22.50 keV   4.252E-01  5.985E+00      61 A        22 A        16 A   
  25.00 keV   4.482E-01  6.222E+00      64 A        23 A        17 A   
  27.50 keV   4.701E-01  6.438E+00      67 A        24 A        18 A   
  30.00 keV   4.910E-01  6.638E+00      71 A        25 A        18 A   
  32.50 keV   5.110E-01  6.823E+00      74 A        26 A        19 A   
  35.00 keV   5.303E-01  6.996E+00      77 A        27 A        20 A   
  37.50 keV   5.489E-01  7.158E+00      80 A        27 A        21 A   
  40.00 keV   5.669E-01  7.310E+00      83 A        28 A        21 A   
  45.00 keV   6.013E-01  7.587E+00      89 A        30 A        23 A   
  50.00 keV   6.338E-01  7.836E+00      94 A        31 A        24 A   
