 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\224Ra_Si.txt

 Ion = Radium [88] , Mass = 224 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.754E-01  5.839E+00     124 A        31 A        23 A   
  11.00 keV   7.084E-01  6.078E+00     129 A        33 A        24 A   
  12.00 keV   7.399E-01  6.302E+00     135 A        34 A        24 A   
  13.00 keV   7.701E-01  6.512E+00     140 A        35 A        25 A   
  14.00 keV   7.992E-01  6.709E+00     146 A        36 A        26 A   
  15.00 keV   8.272E-01  6.896E+00     151 A        37 A        27 A   
  16.00 keV   8.544E-01  7.073E+00     156 A        38 A        28 A   
  17.00 keV   8.807E-01  7.241E+00     160 A        39 A        29 A   
  18.00 keV   9.062E-01  7.401E+00     165 A        40 A        30 A   
  20.00 keV   9.552E-01  7.700E+00     174 A        42 A        31 A   
  22.50 keV   1.013E+00  8.040E+00     185 A        44 A        33 A   
  25.00 keV   1.068E+00  8.349E+00     196 A        46 A        35 A   
  27.50 keV   1.120E+00  8.631E+00     206 A        48 A        36 A   
  30.00 keV   1.170E+00  8.891E+00     216 A        50 A        38 A   
  32.50 keV   1.218E+00  9.132E+00     225 A        52 A        39 A   
  35.00 keV   1.264E+00  9.355E+00     235 A        54 A        41 A   
  37.50 keV   1.308E+00  9.564E+00     244 A        56 A        42 A   
  40.00 keV   1.351E+00  9.760E+00     253 A        57 A        44 A   
  45.00 keV   1.433E+00  1.012E+01     270 A        60 A        47 A   
  50.00 keV   1.510E+00  1.044E+01     287 A        64 A        49 A   
