 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\226Rn_120Sn.txt

 Ion = Radon [86] , Mass = 226 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6541E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.625E-01  2.795E+00      61 A        32 A        23 A   
  11.00 keV   2.753E-01  2.914E+00      64 A        34 A        24 A   
  12.00 keV   2.875E-01  3.026E+00      67 A        35 A        25 A   
  13.00 keV   2.993E-01  3.131E+00      70 A        36 A        26 A   
  14.00 keV   3.106E-01  3.230E+00      72 A        37 A        27 A   
  15.00 keV   3.215E-01  3.324E+00      75 A        38 A        28 A   
  16.00 keV   3.320E-01  3.413E+00      78 A        40 A        29 A   
  17.00 keV   3.422E-01  3.499E+00      80 A        41 A        29 A   
  18.00 keV   3.521E-01  3.580E+00      82 A        42 A        30 A   
  20.00 keV   3.712E-01  3.732E+00      87 A        44 A        32 A   
  22.50 keV   3.937E-01  3.906E+00      93 A        46 A        34 A   
  25.00 keV   4.150E-01  4.064E+00      98 A        48 A        35 A   
  27.50 keV   4.353E-01  4.210E+00     104 A        51 A        37 A   
  30.00 keV   4.546E-01  4.344E+00     109 A        53 A        39 A   
  32.50 keV   4.732E-01  4.469E+00     114 A        55 A        40 A   
  35.00 keV   4.910E-01  4.586E+00     118 A        57 A        42 A   
  37.50 keV   5.083E-01  4.695E+00     123 A        59 A        43 A   
  40.00 keV   5.249E-01  4.798E+00     128 A        61 A        45 A   
  45.00 keV   5.568E-01  4.986E+00     137 A        64 A        47 A   
  50.00 keV   5.869E-01  5.156E+00     146 A        68 A        50 A   
