 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\226Rn_Si.txt

 Ion = Radon [86] , Mass = 226 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.536E+02  1.340E+03     125 A        31 A        23 A   
  11.00 keV   1.611E+02  1.395E+03     131 A        33 A        24 A   
  12.00 keV   1.683E+02  1.446E+03     137 A        34 A        25 A   
  13.00 keV   1.752E+02  1.494E+03     142 A        35 A        26 A   
  14.00 keV   1.818E+02  1.539E+03     147 A        36 A        26 A   
  15.00 keV   1.882E+02  1.582E+03     152 A        37 A        27 A   
  16.00 keV   1.943E+02  1.623E+03     157 A        38 A        28 A   
  17.00 keV   2.003E+02  1.661E+03     162 A        39 A        29 A   
  18.00 keV   2.061E+02  1.698E+03     167 A        40 A        30 A   
  20.00 keV   2.173E+02  1.766E+03     176 A        42 A        31 A   
  22.50 keV   2.304E+02  1.844E+03     188 A        45 A        33 A   
  25.00 keV   2.429E+02  1.914E+03     198 A        47 A        35 A   
  27.50 keV   2.548E+02  1.978E+03     209 A        49 A        37 A   
  30.00 keV   2.661E+02  2.038E+03     219 A        51 A        38 A   
  32.50 keV   2.770E+02  2.093E+03     228 A        52 A        40 A   
  35.00 keV   2.874E+02  2.144E+03     238 A        54 A        41 A   
  37.50 keV   2.975E+02  2.191E+03     247 A        56 A        43 A   
  40.00 keV   3.073E+02  2.236E+03     256 A        58 A        44 A   
  45.00 keV   3.259E+02  2.317E+03     274 A        61 A        47 A   
  50.00 keV   3.435E+02  2.390E+03     291 A        64 A        50 A   
