 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 26, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\22Ne_107Ag.txt

 Ion = Neon [10] , Mass = 22 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8942E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.042E-01  3.088E-01      92 A        97 A        74 A   
  11.00 keV   1.093E-01  3.123E-01      99 A       104 A        79 A   
  12.00 keV   1.142E-01  3.153E-01     107 A       111 A        84 A   
  13.00 keV   1.188E-01  3.177E-01     114 A       117 A        89 A   
  14.00 keV   1.233E-01  3.197E-01     121 A       124 A        94 A   
  15.00 keV   1.276E-01  3.214E-01     129 A       130 A        99 A   
  16.00 keV   1.318E-01  3.228E-01     136 A       136 A       104 A   
  17.00 keV   1.359E-01  3.239E-01     143 A       143 A       109 A   
  18.00 keV   1.398E-01  3.247E-01     151 A       149 A       114 A   
  20.00 keV   1.474E-01  3.259E-01     165 A       161 A       123 A   
  22.50 keV   1.563E-01  3.266E-01     184 A       177 A       134 A   
  25.00 keV   1.648E-01  3.265E-01     202 A       192 A       145 A   
  27.50 keV   1.728E-01  3.259E-01     221 A       207 A       156 A   
  30.00 keV   1.805E-01  3.250E-01     239 A       222 A       167 A   
  32.50 keV   1.879E-01  3.237E-01     258 A       236 A       178 A   
  35.00 keV   1.950E-01  3.222E-01     276 A       251 A       189 A   
  37.50 keV   2.018E-01  3.205E-01     295 A       265 A       199 A   
  40.00 keV   2.084E-01  3.187E-01     314 A       280 A       209 A   
  45.00 keV   2.267E-01  3.147E-01     351 A       307 A       230 A   
  50.00 keV   2.620E-01  3.105E-01     388 A       333 A       251 A   
