 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\22Ne208Pb.txt

 Ion = Neon [10] , Mass = 22 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.972E-02  1.318E-01     118 A       177 A       131 A   
  11.00 keV   6.264E-02  1.342E-01     127 A       188 A       140 A   
  12.00 keV   6.542E-02  1.362E-01     136 A       200 A       148 A   
  13.00 keV   6.809E-02  1.381E-01     145 A       211 A       156 A   
  14.00 keV   7.066E-02  1.397E-01     153 A       222 A       165 A   
  15.00 keV   7.314E-02  1.411E-01     162 A       233 A       173 A   
  16.00 keV   7.554E-02  1.424E-01     171 A       243 A       181 A   
  17.00 keV   7.787E-02  1.436E-01     180 A       254 A       188 A   
  18.00 keV   8.012E-02  1.446E-01     188 A       264 A       196 A   
  20.00 keV   8.446E-02  1.463E-01     206 A       284 A       212 A   
  22.50 keV   8.958E-02  1.481E-01     227 A       309 A       230 A   
  25.00 keV   9.443E-02  1.494E-01     249 A       334 A       249 A   
  27.50 keV   9.904E-02  1.503E-01     270 A       358 A       267 A   
  30.00 keV   1.034E-01  1.511E-01     292 A       382 A       285 A   
  32.50 keV   1.077E-01  1.516E-01     313 A       405 A       302 A   
  35.00 keV   1.117E-01  1.519E-01     335 A       428 A       319 A   
  37.50 keV   1.156E-01  1.521E-01     356 A       451 A       336 A   
  40.00 keV   1.194E-01  1.522E-01     378 A       474 A       353 A   
  45.00 keV   1.304E-01  1.521E-01     421 A       518 A       386 A   
  50.00 keV   1.524E-01  1.516E-01     462 A       561 A       417 A   
