 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04

SRIM
              Calc. date   ---> July 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Ti48_natSi

 Ion = Titanium [22] , Mass = 48 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.188E-01  2.896E+00     139 A        60 A        45 A   
  11.00 keV   3.343E-01  2.941E+00     149 A        64 A        48 A   
  12.00 keV   3.492E-01  2.979E+00     159 A        68 A        50 A   
  13.00 keV   3.635E-01  3.013E+00     169 A        71 A        53 A   
  14.00 keV   3.772E-01  3.042E+00     178 A        75 A        56 A   
  15.00 keV   3.904E-01  3.067E+00     188 A        78 A        58 A   
  16.00 keV   4.032E-01  3.089E+00     197 A        81 A        61 A   
  17.00 keV   4.156E-01  3.109E+00     207 A        85 A        63 A   
  18.00 keV   4.277E-01  3.125E+00     216 A        88 A        66 A   
  20.00 keV   4.508E-01  3.153E+00     235 A        95 A        70 A   
  22.50 keV   4.782E-01  3.178E+00     258 A       103 A        76 A   
  25.00 keV   5.040E-01  3.195E+00     280 A       110 A        82 A   
  27.50 keV   5.286E-01  3.205E+00     303 A       118 A        88 A   
  30.00 keV   5.521E-01  3.211E+00     326 A       126 A        93 A   
  32.50 keV   5.747E-01  3.212E+00     348 A       133 A        99 A   
  35.00 keV   5.964E-01  3.211E+00     371 A       141 A       104 A   
  37.50 keV   6.173E-01  3.207E+00     393 A       148 A       110 A   
  40.00 keV   6.376E-01  3.201E+00     415 A       156 A       115 A   
  45.00 keV   6.762E-01  3.183E+00     460 A       170 A       125 A   
