 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 14, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\70Ni_206Pb.txt

 Ion = Nickel [28] , Mass = 70 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.145E-02  6.346E-01      67 A        69 A        54 A   
  11.00 keV   3.299E-02  6.543E-01      71 A        73 A        57 A   
  12.00 keV   3.446E-02  6.724E-01      75 A        77 A        60 A   
  13.00 keV   3.586E-02  6.891E-01      79 A        81 A        62 A   
  14.00 keV   3.722E-02  7.045E-01      83 A        84 A        65 A   
  15.00 keV   3.852E-02  7.188E-01      87 A        88 A        68 A   
  16.00 keV   3.979E-02  7.322E-01      91 A        91 A        71 A   
  17.00 keV   4.101E-02  7.447E-01      95 A        94 A        73 A   
  18.00 keV   4.220E-02  7.564E-01      99 A        98 A        76 A   
  20.00 keV   4.448E-02  7.778E-01     107 A       104 A        81 A   
  22.50 keV   4.718E-02  8.015E-01     116 A       112 A        87 A   
  25.00 keV   4.973E-02  8.222E-01     125 A       120 A        93 A   
  27.50 keV   5.216E-02  8.406E-01     134 A       127 A        99 A   
  30.00 keV   5.448E-02  8.570E-01     143 A       135 A       105 A   
  32.50 keV   5.670E-02  8.717E-01     152 A       142 A       111 A   
  35.00 keV   5.885E-02  8.850E-01     160 A       149 A       116 A   
  37.50 keV   6.091E-02  8.971E-01     169 A       156 A       122 A   
  40.00 keV   6.291E-02  9.081E-01     178 A       163 A       127 A   
  45.00 keV   6.672E-02  9.274E-01     195 A       177 A       138 A   
  50.00 keV   7.033E-02  9.437E-01     212 A       190 A       149 A   
