 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04

SRIM
              Calc. date   ---> September 08, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\79Zn_Si.txt

 Ion = Zinc [30] , Mass = 79 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.743E-01  3.856E+00     131 A        48 A        36 A   
  11.00 keV   2.876E-01  3.944E+00     139 A        50 A        38 A   
  12.00 keV   3.004E-01  4.024E+00     147 A        53 A        40 A   
  13.00 keV   3.127E-01  4.095E+00     155 A        55 A        42 A   
  14.00 keV   3.245E-01  4.160E+00     163 A        57 A        44 A   
  15.00 keV   3.359E-01  4.219E+00     170 A        60 A        46 A   
  16.00 keV   3.469E-01  4.273E+00     178 A        62 A        48 A   
  17.00 keV   3.576E-01  4.322E+00     186 A        64 A        49 A   
  18.00 keV   3.680E-01  4.367E+00     193 A        66 A        51 A   
  20.00 keV   3.879E-01  4.448E+00     208 A        71 A        55 A   
  22.50 keV   4.114E-01  4.532E+00     226 A        76 A        59 A   
  25.00 keV   4.336E-01  4.602E+00     244 A        81 A        63 A   
  27.50 keV   4.548E-01  4.660E+00     261 A        86 A        67 A   
  30.00 keV   4.750E-01  4.710E+00     279 A        91 A        71 A   
  32.50 keV   4.944E-01  4.751E+00     296 A        96 A        74 A   
  35.00 keV   5.131E-01  4.786E+00     313 A       100 A        78 A   
  37.50 keV   5.311E-01  4.816E+00     330 A       105 A        82 A   
  40.00 keV   5.485E-01  4.841E+00     347 A       110 A        85 A   
  45.00 keV   5.818E-01  4.879E+00     380 A       119 A        93 A   
