 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\7Li_7Li.txt

 Ion = Lithium [3] , Mass = 7 amu

 Target Density =  5.3400E-01 g/cm3 = 4.5939E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.292E-01  1.852E-01    3022 A       860 A       718 A   
  11.00 keV   3.453E-01  1.755E-01    3337 A       921 A       782 A   
  12.00 keV   3.606E-01  1.669E-01    3650 A       979 A       844 A   
  13.00 keV   3.753E-01  1.592E-01    3961 A      1034 A       904 A   
  14.00 keV   3.895E-01  1.523E-01    4269 A      1086 A       963 A   
  15.00 keV   4.041E-01  1.461E-01    4574 A      1136 A      1020 A   
  16.00 keV   4.183E-01  1.404E-01    4876 A      1183 A      1075 A   
  17.00 keV   4.320E-01  1.352E-01    5175 A      1228 A      1129 A   
  18.00 keV   4.454E-01  1.305E-01    5470 A      1271 A      1180 A   
  20.00 keV   4.712E-01  1.220E-01    6050 A      1351 A      1280 A   
  22.50 keV   5.019E-01  1.130E-01    6758 A      1443 A      1396 A   
  25.00 keV   5.310E-01  1.055E-01    7445 A      1525 A      1504 A   
  27.50 keV   5.588E-01  9.895E-02    8114 A      1600 A      1605 A   
  30.00 keV   5.854E-01  9.330E-02    8765 A      1668 A      1699 A   
  32.50 keV   6.110E-01  8.833E-02    9399 A      1730 A      1787 A   
  35.00 keV   6.358E-01  8.392E-02    1.00 um     1787 A      1870 A   
  37.50 keV   6.597E-01  7.999E-02    1.06 um     1840 A      1948 A   
  40.00 keV   6.829E-01  7.645E-02    1.12 um     1889 A      2022 A   
