 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 30, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Zinc in Platinum.txt

 Ion = Zinc [30] , Mass = 80 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.477E-02  7.589E-01      33 A        32 A        25 A   
  11.00 keV   4.695E-02  7.830E-01      36 A        33 A        26 A   
  12.00 keV   4.904E-02  8.051E-01      38 A        35 A        27 A   
  13.00 keV   5.104E-02  8.254E-01      40 A        37 A        29 A   
  14.00 keV   5.297E-02  8.443E-01      42 A        38 A        30 A   
  15.00 keV   5.483E-02  8.618E-01      44 A        40 A        31 A   
  16.00 keV   5.663E-02  8.782E-01      45 A        41 A        32 A   
  17.00 keV   5.837E-02  8.936E-01      47 A        43 A        33 A   
  18.00 keV   6.006E-02  9.080E-01      49 A        44 A        35 A   
  20.00 keV   6.331E-02  9.344E-01      53 A        47 A        37 A   
  22.50 keV   6.715E-02  9.636E-01      57 A        51 A        40 A   
  25.00 keV   7.079E-02  9.893E-01      62 A        54 A        42 A   
  27.50 keV   7.424E-02  1.012E+00      66 A        58 A        45 A   
  30.00 keV   7.754E-02  1.033E+00      71 A        61 A        48 A   
  32.50 keV   8.071E-02  1.051E+00      75 A        64 A        50 A   
  35.00 keV   8.376E-02  1.068E+00      79 A        67 A        52 A   
  37.50 keV   8.670E-02  1.083E+00      83 A        71 A        55 A   
  40.00 keV   8.954E-02  1.097E+00      87 A        74 A        57 A   
  45.00 keV   9.497E-02  1.121E+00      96 A        80 A        62 A   
  50.00 keV   1.001E-01  1.142E+00     104 A        86 A        67 A   
