==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Juli 06. 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Palladium in Silicon

 Ion = Palladium [46] . Mass = 105.903 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.675E-01  4.925E+00     119 A        40 A        30 A   
  11.00 keV   2.805E-01  5.072E+00     125 A        42 A        32 A   
  12.00 keV   2.930E-01  5.206E+00     132 A        44 A        33 A   
  13.00 keV   3.050E-01  5.329E+00     138 A        46 A        35 A   
  14.00 keV   3.165E-01  5.442E+00     145 A        47 A        36 A   
  15.00 keV   3.276E-01  5.548E+00     151 A        49 A        38 A   
  16.00 keV   3.383E-01  5.646E+00     157 A        51 A        39 A   
  17.00 keV   3.488E-01  5.737E+00     163 A        52 A        40 A   
  18.00 keV   3.589E-01  5.822E+00     169 A        54 A        42 A   
  20.00 keV   3.783E-01  5.978E+00     180 A        57 A        44 A   
  22.50 keV   4.012E-01  6.149E+00     194 A        61 A        47 A   
  25.00 keV   4.229E-01  6.298E+00     208 A        64 A        50 A   
  27.50 keV   4.436E-01  6.429E+00     221 A        68 A        53 A   
  30.00 keV   4.633E-01  6.545E+00     235 A        71 A        56 A   
  32.50 keV   4.822E-01  6.649E+00     248 A        75 A        59 A   
  35.00 keV   5.004E-01  6.742E+00     260 A        78 A        61 A   
  37.50 keV   5.180E-01  6.827E+00     273 A        81 A        64 A   
  40.00 keV   5.350E-01  6.903E+00     285 A        84 A        66 A   
  45.00 keV   5.674E-01  7.035E+00     310 A        90 A        71 A   
