 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 17, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\107Ag_107Ag.txt

 Ion = Silver [47] , Mass = 107 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8942E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.465E-01  2.081E+00      42 A        28 A        20 A   
  11.00 keV   1.537E-01  2.152E+00      44 A        29 A        21 A   
  12.00 keV   1.605E-01  2.218E+00      46 A        30 A        22 A   
  13.00 keV   1.670E-01  2.279E+00      49 A        32 A        23 A   
  14.00 keV   1.734E-01  2.335E+00      51 A        33 A        24 A   
  15.00 keV   1.794E-01  2.388E+00      53 A        34 A        24 A   
  16.00 keV   1.853E-01  2.437E+00      55 A        35 A        25 A   
  17.00 keV   1.910E-01  2.484E+00      57 A        36 A        26 A   
  18.00 keV   1.966E-01  2.528E+00      59 A        37 A        27 A   
  20.00 keV   2.072E-01  2.609E+00      63 A        40 A        29 A   
  22.50 keV   2.198E-01  2.699E+00      68 A        42 A        30 A   
  25.00 keV   2.317E-01  2.779E+00      73 A        45 A        32 A   
  27.50 keV   2.430E-01  2.851E+00      78 A        47 A        34 A   
  30.00 keV   2.538E-01  2.916E+00      82 A        50 A        36 A   
  32.50 keV   2.641E-01  2.975E+00      87 A        52 A        38 A   
  35.00 keV   2.741E-01  3.029E+00      91 A        54 A        39 A   
  37.50 keV   2.837E-01  3.079E+00      96 A        57 A        41 A   
  40.00 keV   2.930E-01  3.124E+00     100 A        59 A        43 A   
  45.00 keV   3.108E-01  3.205E+00     109 A        63 A        46 A   
  50.00 keV   3.276E-01  3.275E+00     117 A        67 A        49 A   
