 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 05, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\109Ag_Si.txt

 Ion = Silver [47] , Mass = 109 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.174E-01  4.973E+00     116 A        39 A        29 A   
  11.00 keV   4.378E-01  5.124E+00     123 A        40 A        31 A   
  12.00 keV   4.573E-01  5.261E+00     129 A        42 A        32 A   
  13.00 keV   4.759E-01  5.388E+00     136 A        44 A        33 A   
  14.00 keV   4.939E-01  5.504E+00     142 A        45 A        35 A   
  15.00 keV   5.112E-01  5.613E+00     148 A        47 A        36 A   
  16.00 keV   5.280E-01  5.713E+00     153 A        49 A        37 A   
  17.00 keV   5.443E-01  5.807E+00     159 A        50 A        39 A   
  18.00 keV   5.600E-01  5.896E+00     165 A        52 A        40 A   
  20.00 keV   5.903E-01  6.056E+00     176 A        54 A        42 A   
  22.50 keV   6.261E-01  6.233E+00     189 A        58 A        45 A   
  25.00 keV   6.600E-01  6.387E+00     203 A        61 A        48 A   
  27.50 keV   6.922E-01  6.523E+00     215 A        65 A        51 A   
  30.00 keV   7.230E-01  6.644E+00     228 A        68 A        53 A   
  32.50 keV   7.525E-01  6.753E+00     240 A        71 A        56 A   
  35.00 keV   7.809E-01  6.850E+00     253 A        74 A        58 A   
  37.50 keV   8.083E-01  6.938E+00     265 A        77 A        61 A   
  40.00 keV   8.349E-01  7.018E+00     277 A        80 A        63 A   
  45.00 keV   8.855E-01  7.157E+00     300 A        85 A        68 A   
  50.00 keV   9.334E-01  7.274E+00     323 A        91 A        72 A   
