 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\112Cd_112Cd.txt

 Ion = Cadmium [48] , Mass = 112 amu

 Target Density =  8.6420E+00 g/cm3 = 4.6466E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cd     48    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.098E-02  2.029E+00      53 A        36 A        25 A   
  11.00 keV   8.494E-02  2.099E+00      56 A        37 A        27 A   
  12.00 keV   8.871E-02  2.164E+00      58 A        39 A        28 A   
  13.00 keV   9.234E-02  2.224E+00      61 A        41 A        29 A   
  14.00 keV   9.582E-02  2.280E+00      64 A        42 A        30 A   
  15.00 keV   9.918E-02  2.332E+00      67 A        44 A        31 A   
  16.00 keV   1.024E-01  2.381E+00      70 A        45 A        32 A   
  17.00 keV   1.056E-01  2.427E+00      72 A        47 A        33 A   
  18.00 keV   1.087E-01  2.471E+00      75 A        48 A        35 A   
  20.00 keV   1.145E-01  2.551E+00      80 A        51 A        37 A   
  22.50 keV   1.215E-01  2.641E+00      86 A        54 A        39 A   
  25.00 keV   1.280E-01  2.721E+00      92 A        58 A        41 A   
  27.50 keV   1.343E-01  2.792E+00      98 A        61 A        44 A   
  30.00 keV   1.403E-01  2.857E+00     104 A        64 A        46 A   
  32.50 keV   1.460E-01  2.916E+00     110 A        67 A        48 A   
  35.00 keV   1.515E-01  2.970E+00     116 A        70 A        50 A   
  37.50 keV   1.568E-01  3.019E+00     121 A        73 A        53 A   
  40.00 keV   1.620E-01  3.065E+00     127 A        76 A        55 A   
  45.00 keV   1.718E-01  3.147E+00     137 A        81 A        59 A   
  50.00 keV   1.811E-01  3.217E+00     148 A        87 A        63 A   
