 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 18, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\127In_196Pt.txt

 Ion = Indium [49] , Mass = 127 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.942E-02  1.239E+00      28 A        23 A        18 A   
  11.00 keV   4.134E-02  1.286E+00      30 A        24 A        19 A   
  12.00 keV   4.318E-02  1.329E+00      31 A        25 A        19 A   
  13.00 keV   4.495E-02  1.369E+00      33 A        26 A        20 A   
  14.00 keV   4.664E-02  1.407E+00      34 A        27 A        21 A   
  15.00 keV   4.828E-02  1.442E+00      36 A        29 A        22 A   
  16.00 keV   4.986E-02  1.476E+00      37 A        30 A        22 A   
  17.00 keV   5.140E-02  1.507E+00      39 A        30 A        23 A   
  18.00 keV   5.289E-02  1.537E+00      40 A        31 A        24 A   
  20.00 keV   5.575E-02  1.593E+00      43 A        33 A        25 A   
  22.50 keV   5.913E-02  1.656E+00      46 A        36 A        27 A   
  25.00 keV   6.233E-02  1.712E+00      49 A        38 A        28 A   
  27.50 keV   6.537E-02  1.763E+00      52 A        40 A        30 A   
  30.00 keV   6.828E-02  1.810E+00      55 A        42 A        31 A   
  32.50 keV   7.107E-02  1.852E+00      58 A        44 A        33 A   
  35.00 keV   7.375E-02  1.892E+00      61 A        46 A        34 A   
  37.50 keV   7.634E-02  1.928E+00      64 A        48 A        36 A   
  40.00 keV   7.884E-02  1.962E+00      67 A        50 A        37 A   
  45.00 keV   8.362E-02  2.024E+00      72 A        53 A        40 A   
  50.00 keV   8.815E-02  2.078E+00      78 A        57 A        42 A   
