 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 18, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\127In_206Pb.txt

 Ion = Indium [49] , Mass = 127 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.829E-02  1.178E+00      54 A        46 A        35 A   
  11.00 keV   5.065E-02  1.222E+00      57 A        48 A        37 A   
  12.00 keV   5.290E-02  1.264E+00      60 A        50 A        38 A   
  13.00 keV   5.506E-02  1.302E+00      63 A        52 A        40 A   
  14.00 keV   5.714E-02  1.338E+00      66 A        54 A        41 A   
  15.00 keV   5.914E-02  1.373E+00      69 A        56 A        43 A   
  16.00 keV   6.108E-02  1.405E+00      72 A        58 A        44 A   
  17.00 keV   6.296E-02  1.435E+00      74 A        60 A        46 A   
  18.00 keV   6.479E-02  1.464E+00      77 A        62 A        47 A   
  20.00 keV   6.829E-02  1.517E+00      82 A        65 A        50 A   
  22.50 keV   7.243E-02  1.578E+00      88 A        70 A        53 A   
  25.00 keV   7.635E-02  1.632E+00      94 A        74 A        56 A   
  27.50 keV   8.008E-02  1.681E+00     100 A        78 A        59 A   
  30.00 keV   8.364E-02  1.726E+00     106 A        82 A        62 A   
  32.50 keV   8.705E-02  1.767E+00     112 A        86 A        65 A   
  35.00 keV   9.034E-02  1.805E+00     117 A        90 A        68 A   
  37.50 keV   9.351E-02  1.841E+00     123 A        94 A        70 A   
  40.00 keV   9.658E-02  1.874E+00     128 A        97 A        73 A   
  45.00 keV   1.024E-01  1.933E+00     139 A       104 A        78 A   
  50.00 keV   1.080E-01  1.986E+00     149 A       111 A        83 A   
