 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 18, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\127In_48Ti.txt

 Ion = Indium [49] , Mass = 127 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6693E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.542E-01  3.804E+00      75 A        31 A        23 A   
  11.00 keV   1.617E-01  3.927E+00      80 A        33 A        24 A   
  12.00 keV   1.689E-01  4.041E+00      84 A        34 A        25 A   
  13.00 keV   1.758E-01  4.146E+00      88 A        36 A        27 A   
  14.00 keV   1.825E-01  4.243E+00      92 A        37 A        28 A   
  15.00 keV   1.889E-01  4.333E+00      95 A        38 A        29 A   
  16.00 keV   1.950E-01  4.418E+00      99 A        40 A        30 A   
  17.00 keV   2.011E-01  4.498E+00     103 A        41 A        31 A   
  18.00 keV   2.069E-01  4.572E+00     106 A        42 A        32 A   
  20.00 keV   2.181E-01  4.710E+00     114 A        44 A        33 A   
  22.50 keV   2.313E-01  4.862E+00     122 A        47 A        36 A   
  25.00 keV   2.438E-01  4.996E+00     131 A        50 A        38 A   
  27.50 keV   2.557E-01  5.115E+00     139 A        53 A        40 A   
  30.00 keV   2.671E-01  5.223E+00     147 A        55 A        42 A   
  32.50 keV   2.780E-01  5.320E+00     155 A        58 A        44 A   
  35.00 keV   2.885E-01  5.408E+00     163 A        60 A        46 A   
  37.50 keV   2.986E-01  5.488E+00     170 A        63 A        48 A   
  40.00 keV   3.084E-01  5.562E+00     178 A        65 A        50 A   
  45.00 keV   3.271E-01  5.692E+00     193 A        69 A        53 A   
  50.00 keV   3.448E-01  5.803E+00     207 A        74 A        57 A   
