 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 18, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\127In_Si.txt

 Ion = Indium [49] , Mass = 127 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.400E-01  5.025E+00     124 A        39 A        30 A   
  11.00 keV   2.517E-01  5.185E+00     131 A        41 A        31 A   
  12.00 keV   2.629E-01  5.331E+00     137 A        43 A        32 A   
  13.00 keV   2.736E-01  5.466E+00     144 A        44 A        34 A   
  14.00 keV   2.840E-01  5.591E+00     150 A        46 A        35 A   
  15.00 keV   2.939E-01  5.707E+00     156 A        48 A        36 A   
  16.00 keV   3.036E-01  5.816E+00     162 A        49 A        38 A   
  17.00 keV   3.129E-01  5.918E+00     168 A        51 A        39 A   
  18.00 keV   3.220E-01  6.013E+00     174 A        52 A        40 A   
  20.00 keV   3.394E-01  6.188E+00     186 A        55 A        43 A   
  22.50 keV   3.600E-01  6.382E+00     199 A        58 A        45 A   
  25.00 keV   3.794E-01  6.552E+00     213 A        62 A        48 A   
  27.50 keV   3.980E-01  6.703E+00     226 A        65 A        51 A   
  30.00 keV   4.157E-01  6.839E+00     239 A        68 A        53 A   
  32.50 keV   4.326E-01  6.961E+00     252 A        71 A        56 A   
  35.00 keV   4.490E-01  7.071E+00     264 A        74 A        58 A   
  37.50 keV   4.647E-01  7.172E+00     277 A        77 A        61 A   
  40.00 keV   4.800E-01  7.264E+00     289 A        80 A        63 A   
  45.00 keV   5.091E-01  7.425E+00     313 A        85 A        68 A   
  50.00 keV   5.366E-01  7.562E+00     336 A        91 A        72 A   
