 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 02, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\128Sb_Si.txt

 Ion = Antimony [51] , Mass = 128 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.349E-01  5.120E+00     123 A        39 A        29 A   
  11.00 keV   2.464E-01  5.285E+00     129 A        41 A        31 A   
  12.00 keV   2.573E-01  5.437E+00     136 A        42 A        32 A   
  13.00 keV   2.678E-01  5.577E+00     142 A        44 A        33 A   
  14.00 keV   2.779E-01  5.706E+00     148 A        46 A        35 A   
  15.00 keV   2.877E-01  5.827E+00     154 A        47 A        36 A   
  16.00 keV   2.971E-01  5.940E+00     160 A        49 A        37 A   
  17.00 keV   3.063E-01  6.046E+00     166 A        50 A        38 A   
  18.00 keV   3.151E-01  6.145E+00     172 A        52 A        40 A   
  20.00 keV   3.322E-01  6.327E+00     183 A        54 A        42 A   
  22.50 keV   3.523E-01  6.529E+00     197 A        58 A        45 A   
  25.00 keV   3.714E-01  6.707E+00     210 A        61 A        48 A   
  27.50 keV   3.895E-01  6.865E+00     223 A        64 A        50 A   
  30.00 keV   4.069E-01  7.007E+00     236 A        67 A        53 A   
  32.50 keV   4.235E-01  7.136E+00     248 A        70 A        55 A   
  35.00 keV   4.395E-01  7.252E+00     260 A        73 A        58 A   
  37.50 keV   4.549E-01  7.358E+00     272 A        76 A        60 A   
  40.00 keV   4.698E-01  7.455E+00     284 A        79 A        62 A   
  45.00 keV   4.983E-01  7.626E+00     308 A        84 A        67 A   
  50.00 keV   5.252E-01  7.772E+00     331 A        89 A        71 A   
