 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 02, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\129Sb_194Pt.txt

 Ion = Antimony [51] , Mass = 129 amu

 Target Density =  2.1450E+01 g/cm3 = 6.6583E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.883E-02  1.290E+00      28 A        23 A        17 A   
  11.00 keV   4.073E-02  1.339E+00      29 A        24 A        18 A   
  12.00 keV   4.254E-02  1.384E+00      31 A        25 A        19 A   
  13.00 keV   4.427E-02  1.427E+00      32 A        26 A        20 A   
  14.00 keV   4.595E-02  1.466E+00      33 A        27 A        20 A   
  15.00 keV   4.756E-02  1.504E+00      35 A        28 A        21 A   
  16.00 keV   4.912E-02  1.539E+00      36 A        29 A        22 A   
  17.00 keV   5.063E-02  1.573E+00      38 A        30 A        22 A   
  18.00 keV   5.210E-02  1.604E+00      39 A        30 A        23 A   
  20.00 keV   5.492E-02  1.663E+00      41 A        32 A        24 A   
  22.50 keV   5.825E-02  1.730E+00      45 A        34 A        26 A   
  25.00 keV   6.140E-02  1.790E+00      48 A        37 A        27 A   
  27.50 keV   6.440E-02  1.844E+00      51 A        39 A        29 A   
  30.00 keV   6.726E-02  1.893E+00      54 A        41 A        30 A   
  32.50 keV   7.000E-02  1.939E+00      56 A        42 A        32 A   
  35.00 keV   7.265E-02  1.981E+00      59 A        44 A        33 A   
  37.50 keV   7.520E-02  2.020E+00      62 A        46 A        34 A   
  40.00 keV   7.766E-02  2.056E+00      65 A        48 A        36 A   
  45.00 keV   8.237E-02  2.122E+00      70 A        52 A        38 A   
  50.00 keV   8.683E-02  2.180E+00      75 A        55 A        41 A   
