 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 17, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\12C_Si.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.582E+01  1.037E+02     342 A       200 A       149 A   
  11.00 keV   1.005E+02  1.020E+02     373 A       215 A       160 A   
  12.00 keV   1.050E+02  1.003E+02     405 A       229 A       171 A   
  13.00 keV   1.092E+02  9.856E+01     436 A       243 A       182 A   
  14.00 keV   1.134E+02  9.691E+01     468 A       257 A       192 A   
  15.00 keV   1.174E+02  9.530E+01     499 A       270 A       203 A   
  16.00 keV   1.212E+02  9.374E+01     531 A       283 A       213 A   
  17.00 keV   1.249E+02  9.222E+01     562 A       296 A       224 A   
  18.00 keV   1.286E+02  9.075E+01     593 A       308 A       234 A   
  20.00 keV   1.355E+02  8.796E+01     656 A       332 A       254 A   
  22.50 keV   1.437E+02  8.471E+01     734 A       361 A       278 A   
  25.00 keV   1.549E+02  8.172E+01     811 A       388 A       301 A   
  27.50 keV   1.691E+02  7.895E+01     886 A       413 A       324 A   
  30.00 keV   1.810E+02  7.640E+01     958 A       435 A       346 A   
  32.50 keV   1.909E+02  7.403E+01    1030 A       457 A       366 A   
  35.00 keV   1.992E+02  7.182E+01    1100 A       478 A       386 A   
  37.50 keV   2.064E+02  6.977E+01    1169 A       497 A       405 A   
  40.00 keV   2.127E+02  6.784E+01    1239 A       516 A       424 A   
  45.00 keV   2.235E+02  6.435E+01    1376 A       552 A       459 A   
  50.00 keV   2.327E+02  6.126E+01    1513 A       586 A       493 A   
