 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 02, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\130Sn_194Pt.txt

 Ion = Tin [50] , Mass = 130 amu

 Target Density =  2.1450E+01 g/cm3 = 6.6583E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.838E-02  1.282E+00      28 A        23 A        17 A   
  11.00 keV   4.026E-02  1.331E+00      29 A        24 A        18 A   
  12.00 keV   4.205E-02  1.376E+00      31 A        25 A        19 A   
  13.00 keV   4.377E-02  1.418E+00      32 A        26 A        20 A   
  14.00 keV   4.542E-02  1.458E+00      34 A        27 A        20 A   
  15.00 keV   4.701E-02  1.495E+00      35 A        28 A        21 A   
  16.00 keV   4.855E-02  1.530E+00      37 A        29 A        22 A   
  17.00 keV   5.005E-02  1.563E+00      38 A        30 A        23 A   
  18.00 keV   5.150E-02  1.594E+00      39 A        31 A        23 A   
  20.00 keV   5.428E-02  1.652E+00      42 A        32 A        24 A   
  22.50 keV   5.758E-02  1.718E+00      45 A        35 A        26 A   
  25.00 keV   6.069E-02  1.777E+00      48 A        37 A        28 A   
  27.50 keV   6.365E-02  1.831E+00      51 A        39 A        29 A   
  30.00 keV   6.648E-02  1.879E+00      54 A        41 A        30 A   
  32.50 keV   6.920E-02  1.924E+00      57 A        43 A        32 A   
  35.00 keV   7.181E-02  1.966E+00      60 A        45 A        33 A   
  37.50 keV   7.433E-02  2.004E+00      63 A        47 A        34 A   
  40.00 keV   7.677E-02  2.040E+00      66 A        48 A        36 A   
  45.00 keV   8.143E-02  2.105E+00      71 A        52 A        38 A   
  50.00 keV   8.583E-02  2.162E+00      76 A        56 A        41 A   
