 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 12, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\130Sn_206Pb.txt

 Ion = Tin [50] , Mass = 130 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.654E-02  1.201E+00      54 A        45 A        35 A   
  11.00 keV   4.881E-02  1.247E+00      57 A        47 A        36 A   
  12.00 keV   5.098E-02  1.290E+00      60 A        49 A        38 A   
  13.00 keV   5.306E-02  1.329E+00      63 A        51 A        39 A   
  14.00 keV   5.507E-02  1.367E+00      66 A        53 A        41 A   
  15.00 keV   5.700E-02  1.402E+00      68 A        55 A        42 A   
  16.00 keV   5.887E-02  1.435E+00      71 A        57 A        44 A   
  17.00 keV   6.068E-02  1.466E+00      74 A        59 A        45 A   
  18.00 keV   6.244E-02  1.496E+00      76 A        61 A        46 A   
  20.00 keV   6.582E-02  1.551E+00      81 A        65 A        49 A   
  22.50 keV   6.981E-02  1.613E+00      88 A        69 A        52 A   
  25.00 keV   7.359E-02  1.669E+00      94 A        73 A        55 A   
  27.50 keV   7.718E-02  1.720E+00      99 A        77 A        58 A   
  30.00 keV   8.061E-02  1.766E+00     105 A        81 A        61 A   
  32.50 keV   8.390E-02  1.809E+00     111 A        85 A        64 A   
  35.00 keV   8.707E-02  1.848E+00     116 A        89 A        67 A   
  37.50 keV   9.012E-02  1.885E+00     122 A        92 A        69 A   
  40.00 keV   9.308E-02  1.919E+00     127 A        96 A        72 A   
  45.00 keV   9.873E-02  1.981E+00     138 A       103 A        77 A   
  50.00 keV   1.041E-01  2.035E+00     148 A       110 A        82 A   
