 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 12, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\130Sn_Si.txt

 Ion = Tin [50] , Mass = 130 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.313E-01  5.064E+00     124 A        39 A        29 A   
  11.00 keV   2.426E-01  5.226E+00     131 A        41 A        31 A   
  12.00 keV   2.534E-01  5.376E+00     138 A        43 A        32 A   
  13.00 keV   2.637E-01  5.514E+00     144 A        44 A        34 A   
  14.00 keV   2.737E-01  5.641E+00     150 A        46 A        35 A   
  15.00 keV   2.833E-01  5.760E+00     156 A        47 A        36 A   
  16.00 keV   2.926E-01  5.871E+00     162 A        49 A        37 A   
  17.00 keV   3.016E-01  5.976E+00     168 A        50 A        39 A   
  18.00 keV   3.103E-01  6.074E+00     174 A        52 A        40 A   
  20.00 keV   3.271E-01  6.253E+00     186 A        55 A        42 A   
  22.50 keV   3.469E-01  6.452E+00     199 A        58 A        45 A   
  25.00 keV   3.657E-01  6.627E+00     213 A        61 A        48 A   
  27.50 keV   3.836E-01  6.783E+00     226 A        64 A        50 A   
  30.00 keV   4.006E-01  6.923E+00     239 A        67 A        53 A   
  32.50 keV   4.170E-01  7.049E+00     251 A        70 A        56 A   
  35.00 keV   4.327E-01  7.163E+00     264 A        73 A        58 A   
  37.50 keV   4.479E-01  7.267E+00     276 A        76 A        60 A   
  40.00 keV   4.626E-01  7.362E+00     288 A        79 A        63 A   
  45.00 keV   4.906E-01  7.530E+00     312 A        84 A        67 A   
  50.00 keV   5.172E-01  7.673E+00     335 A        90 A        72 A   
