 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 25, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\132Sn_206Pb.txt

 Ion = Tin [50] , Mass = 132 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.619E-02  1.210E+00      54 A        45 A        34 A   
  11.00 keV   4.844E-02  1.256E+00      57 A        47 A        36 A   
  12.00 keV   5.059E-02  1.299E+00      60 A        49 A        38 A   
  13.00 keV   5.266E-02  1.339E+00      63 A        51 A        39 A   
  14.00 keV   5.465E-02  1.376E+00      66 A        53 A        41 A   
  15.00 keV   5.657E-02  1.412E+00      69 A        55 A        42 A   
  16.00 keV   5.842E-02  1.445E+00      71 A        57 A        43 A   
  17.00 keV   6.022E-02  1.477E+00      74 A        59 A        45 A   
  18.00 keV   6.197E-02  1.507E+00      76 A        61 A        46 A   
  20.00 keV   6.532E-02  1.562E+00      82 A        64 A        49 A   
  22.50 keV   6.928E-02  1.625E+00      88 A        69 A        52 A   
  25.00 keV   7.303E-02  1.681E+00      94 A        73 A        55 A   
  27.50 keV   7.659E-02  1.733E+00     100 A        77 A        58 A   
  30.00 keV   8.000E-02  1.780E+00     105 A        81 A        61 A   
  32.50 keV   8.326E-02  1.823E+00     111 A        84 A        63 A   
  35.00 keV   8.641E-02  1.862E+00     117 A        88 A        66 A   
  37.50 keV   8.944E-02  1.899E+00     122 A        92 A        69 A   
  40.00 keV   9.237E-02  1.934E+00     127 A        96 A        71 A   
  45.00 keV   9.798E-02  1.996E+00     138 A       103 A        76 A   
  50.00 keV   1.033E-01  2.051E+00     148 A       110 A        81 A   
