 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 25, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\132Sn_Si.txt

 Ion = Tin [50] , Mass = 132 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.295E-01  5.056E+00     125 A        39 A        29 A   
  11.00 keV   2.407E-01  5.219E+00     132 A        41 A        31 A   
  12.00 keV   2.514E-01  5.369E+00     138 A        43 A        32 A   
  13.00 keV   2.617E-01  5.507E+00     145 A        44 A        34 A   
  14.00 keV   2.716E-01  5.635E+00     151 A        46 A        35 A   
  15.00 keV   2.811E-01  5.754E+00     157 A        47 A        36 A   
  16.00 keV   2.903E-01  5.866E+00     163 A        49 A        37 A   
  17.00 keV   2.993E-01  5.970E+00     169 A        50 A        39 A   
  18.00 keV   3.079E-01  6.068E+00     175 A        52 A        40 A   
  20.00 keV   3.246E-01  6.249E+00     186 A        55 A        42 A   
  22.50 keV   3.443E-01  6.448E+00     200 A        58 A        45 A   
  25.00 keV   3.629E-01  6.624E+00     214 A        61 A        48 A   
  27.50 keV   3.806E-01  6.781E+00     227 A        64 A        50 A   
  30.00 keV   3.976E-01  6.921E+00     240 A        67 A        53 A   
  32.50 keV   4.138E-01  7.048E+00     253 A        70 A        55 A   
  35.00 keV   4.294E-01  7.163E+00     265 A        73 A        58 A   
  37.50 keV   4.445E-01  7.268E+00     277 A        76 A        60 A   
  40.00 keV   4.591E-01  7.364E+00     289 A        79 A        63 A   
  45.00 keV   4.869E-01  7.533E+00     313 A        84 A        67 A   
  50.00 keV   5.132E-01  7.677E+00     336 A        89 A        72 A   
