 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 17, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\132Xe_107Ag.txt

 Ion = Xenon [54] , Mass = 132 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8942E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.377E-01  2.357E+00      41 A        25 A        18 A   
  11.00 keV   1.444E-01  2.443E+00      43 A        27 A        19 A   
  12.00 keV   1.508E-01  2.522E+00      46 A        28 A        20 A   
  13.00 keV   1.570E-01  2.596E+00      48 A        29 A        21 A   
  14.00 keV   1.629E-01  2.665E+00      50 A        30 A        22 A   
  15.00 keV   1.687E-01  2.730E+00      52 A        31 A        22 A   
  16.00 keV   1.742E-01  2.791E+00      54 A        32 A        23 A   
  17.00 keV   1.795E-01  2.848E+00      56 A        33 A        24 A   
  18.00 keV   1.848E-01  2.903E+00      58 A        34 A        25 A   
  20.00 keV   1.947E-01  3.003E+00      62 A        36 A        26 A   
  22.50 keV   2.066E-01  3.116E+00      66 A        38 A        28 A   
  25.00 keV   2.177E-01  3.218E+00      71 A        40 A        29 A   
  27.50 keV   2.284E-01  3.309E+00      75 A        43 A        31 A   
  30.00 keV   2.385E-01  3.392E+00      79 A        45 A        32 A   
  32.50 keV   2.483E-01  3.468E+00      83 A        47 A        34 A   
  35.00 keV   2.576E-01  3.538E+00      88 A        49 A        35 A   
  37.50 keV   2.667E-01  3.603E+00      92 A        50 A        37 A   
  40.00 keV   2.754E-01  3.662E+00      96 A        52 A        38 A   
  45.00 keV   2.921E-01  3.770E+00     103 A        56 A        41 A   
  50.00 keV   3.079E-01  3.864E+00     111 A        59 A        43 A   
