 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 18, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\132Xe_196Pt.txt

 Ion = Xenon [54] , Mass = 132 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.505E-02  1.317E+00      27 A        22 A        17 A   
  11.00 keV   6.822E-02  1.368E+00      29 A        23 A        17 A   
  12.00 keV   7.126E-02  1.415E+00      30 A        24 A        18 A   
  13.00 keV   7.416E-02  1.459E+00      31 A        25 A        19 A   
  14.00 keV   7.696E-02  1.500E+00      33 A        26 A        20 A   
  15.00 keV   7.967E-02  1.539E+00      34 A        27 A        20 A   
  16.00 keV   8.228E-02  1.576E+00      35 A        28 A        21 A   
  17.00 keV   8.481E-02  1.611E+00      37 A        29 A        22 A   
  18.00 keV   8.727E-02  1.644E+00      38 A        30 A        22 A   
  20.00 keV   9.199E-02  1.705E+00      41 A        31 A        24 A   
  22.50 keV   9.757E-02  1.775E+00      44 A        33 A        25 A   
  25.00 keV   1.028E-01  1.837E+00      47 A        35 A        26 A   
  27.50 keV   1.079E-01  1.894E+00      49 A        37 A        28 A   
  30.00 keV   1.127E-01  1.946E+00      52 A        39 A        29 A   
  32.50 keV   1.173E-01  1.994E+00      55 A        41 A        30 A   
  35.00 keV   1.217E-01  2.038E+00      58 A        43 A        32 A   
  37.50 keV   1.260E-01  2.079E+00      60 A        45 A        33 A   
  40.00 keV   1.301E-01  2.117E+00      63 A        47 A        34 A   
  45.00 keV   1.380E-01  2.187E+00      68 A        50 A        37 A   
  50.00 keV   1.454E-01  2.248E+00      73 A        53 A        39 A   
