 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 17, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\132Xe_98Mo.txt

 Ion = Xenon [54] , Mass = 132 amu

 Target Density =  1.0206E+01 g/cm3 = 6.2715E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.790E-01  2.490E+00      41 A        24 A        17 A   
  11.00 keV   1.877E-01  2.579E+00      43 A        25 A        18 A   
  12.00 keV   1.961E-01  2.662E+00      45 A        26 A        19 A   
  13.00 keV   2.041E-01  2.738E+00      48 A        27 A        20 A   
  14.00 keV   2.118E-01  2.809E+00      50 A        28 A        20 A   
  15.00 keV   2.192E-01  2.876E+00      52 A        29 A        21 A   
  16.00 keV   2.264E-01  2.939E+00      54 A        30 A        22 A   
  17.00 keV   2.334E-01  2.999E+00      56 A        31 A        23 A   
  18.00 keV   2.401E-01  3.055E+00      58 A        32 A        23 A   
  20.00 keV   2.531E-01  3.158E+00      61 A        34 A        25 A   
  22.50 keV   2.685E-01  3.275E+00      66 A        36 A        26 A   
  25.00 keV   2.830E-01  3.378E+00      70 A        38 A        28 A   
  27.50 keV   2.968E-01  3.472E+00      75 A        40 A        29 A   
  30.00 keV   3.100E-01  3.557E+00      79 A        42 A        31 A   
  32.50 keV   3.227E-01  3.634E+00      83 A        44 A        32 A   
  35.00 keV   3.348E-01  3.705E+00      87 A        46 A        34 A   
  37.50 keV   3.466E-01  3.771E+00      91 A        48 A        35 A   
  40.00 keV   3.579E-01  3.832E+00      95 A        49 A        36 A   
  45.00 keV   3.797E-01  3.941E+00     103 A        53 A        39 A   
  50.00 keV   4.002E-01  4.036E+00     111 A        56 A        41 A   
