 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 22, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\142Ba_C.txt

 Ion = Barium [56] , Mass = 142 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.138E-01  6.722E+00     108 A        21 A        16 A   
  11.00 keV   4.340E-01  6.939E+00     113 A        22 A        17 A   
  12.00 keV   4.533E-01  7.139E+00     119 A        23 A        18 A   
  13.00 keV   4.718E-01  7.324E+00     124 A        24 A        18 A   
  14.00 keV   4.896E-01  7.495E+00     129 A        25 A        19 A   
  15.00 keV   5.068E-01  7.654E+00     135 A        26 A        20 A   
  16.00 keV   5.234E-01  7.803E+00     140 A        26 A        20 A   
  17.00 keV   5.395E-01  7.943E+00     145 A        27 A        21 A   
  18.00 keV   5.552E-01  8.074E+00     149 A        28 A        22 A   
  20.00 keV   5.852E-01  8.315E+00     159 A        29 A        23 A   
  22.50 keV   6.207E-01  8.582E+00     170 A        31 A        25 A   
  25.00 keV   6.543E-01  8.818E+00     182 A        33 A        26 A   
  27.50 keV   6.862E-01  9.027E+00     192 A        34 A        28 A   
  30.00 keV   7.167E-01  9.216E+00     203 A        36 A        29 A   
  32.50 keV   7.460E-01  9.386E+00     213 A        37 A        30 A   
  35.00 keV   7.741E-01  9.540E+00     224 A        39 A        32 A   
  37.50 keV   8.013E-01  9.681E+00     234 A        40 A        33 A   
  40.00 keV   8.276E-01  9.810E+00     244 A        42 A        34 A   
  45.00 keV   8.778E-01  1.004E+01     263 A        44 A        37 A   
  50.00 keV   9.253E-01  1.023E+01     282 A        47 A        39 A   
