 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 25, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\142Xe_206Pb.txt

 Ion = Xenon [54] , Mass = 142 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.682E-02  1.293E+00      53 A        42 A        32 A   
  11.00 keV   8.057E-02  1.343E+00      56 A        44 A        34 A   
  12.00 keV   8.416E-02  1.390E+00      58 A        46 A        35 A   
  13.00 keV   8.759E-02  1.434E+00      61 A        48 A        36 A   
  14.00 keV   9.090E-02  1.476E+00      64 A        50 A        38 A   
  15.00 keV   9.409E-02  1.514E+00      66 A        52 A        39 A   
  16.00 keV   9.717E-02  1.551E+00      69 A        54 A        40 A   
  17.00 keV   1.002E-01  1.586E+00      71 A        55 A        42 A   
  18.00 keV   1.031E-01  1.619E+00      74 A        57 A        43 A   
  20.00 keV   1.086E-01  1.681E+00      79 A        60 A        45 A   
  22.50 keV   1.152E-01  1.750E+00      84 A        64 A        48 A   
  25.00 keV   1.215E-01  1.813E+00      90 A        68 A        51 A   
  27.50 keV   1.274E-01  1.870E+00      96 A        72 A        53 A   
  30.00 keV   1.331E-01  1.922E+00     101 A        76 A        56 A   
  32.50 keV   1.385E-01  1.971E+00     106 A        79 A        58 A   
  35.00 keV   1.437E-01  2.015E+00     111 A        83 A        61 A   
  37.50 keV   1.488E-01  2.057E+00     117 A        86 A        63 A   
  40.00 keV   1.536E-01  2.095E+00     122 A        89 A        65 A   
  45.00 keV   1.630E-01  2.166E+00     131 A        96 A        69 A   
  50.00 keV   1.718E-01  2.228E+00     141 A       102 A        74 A   
