 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 25, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\142Xe_Si.txt

 Ion = Xenon [54] , Mass = 142 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.818E-01  5.202E+00     122 A        37 A        28 A   
  11.00 keV   4.004E-01  5.376E+00     129 A        39 A        29 A   
  12.00 keV   4.182E-01  5.537E+00     135 A        40 A        30 A   
  13.00 keV   4.353E-01  5.685E+00     141 A        42 A        31 A   
  14.00 keV   4.517E-01  5.823E+00     147 A        43 A        33 A   
  15.00 keV   4.676E-01  5.952E+00     153 A        45 A        34 A   
  16.00 keV   4.829E-01  6.073E+00     159 A        46 A        35 A   
  17.00 keV   4.978E-01  6.186E+00     165 A        47 A        36 A   
  18.00 keV   5.122E-01  6.293E+00     170 A        49 A        37 A   
  20.00 keV   5.399E-01  6.490E+00     181 A        51 A        39 A   
  22.50 keV   5.727E-01  6.708E+00     194 A        54 A        42 A   
  25.00 keV   6.037E-01  6.902E+00     207 A        57 A        44 A   
  27.50 keV   6.331E-01  7.076E+00     219 A        60 A        47 A   
  30.00 keV   6.613E-01  7.232E+00     231 A        63 A        49 A   
  32.50 keV   6.883E-01  7.374E+00     243 A        65 A        51 A   
  35.00 keV   7.143E-01  7.503E+00     254 A        68 A        54 A   
  37.50 keV   7.393E-01  7.621E+00     266 A        70 A        56 A   
  40.00 keV   7.636E-01  7.730E+00     277 A        73 A        58 A   
  45.00 keV   8.099E-01  7.923E+00     299 A        78 A        62 A   
  50.00 keV   8.537E-01  8.089E+00     321 A        82 A        66 A   
