 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 20, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ba_7Li.txt

 Ion = Barium [56] , Mass = 144 amu

 Target Density =  5.3400E-01 g/cm3 = 4.5939E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.268E-01  6.807E+00     462 A        69 A        53 A   
  11.00 keV   2.379E-01  7.014E+00     487 A        72 A        55 A   
  12.00 keV   2.484E-01  7.203E+00     512 A        75 A        58 A   
  13.00 keV   2.586E-01  7.376E+00     535 A        78 A        60 A   
  14.00 keV   2.684E-01  7.536E+00     559 A        81 A        63 A   
  15.00 keV   2.778E-01  7.685E+00     582 A        83 A        65 A   
  16.00 keV   2.869E-01  7.823E+00     604 A        86 A        68 A   
  17.00 keV   2.957E-01  7.953E+00     626 A        89 A        70 A   
  18.00 keV   3.043E-01  8.074E+00     648 A        91 A        72 A   
  20.00 keV   3.207E-01  8.295E+00     690 A        96 A        77 A   
  22.50 keV   3.402E-01  8.538E+00     742 A       102 A        82 A   
  25.00 keV   3.586E-01  8.750E+00     792 A       107 A        87 A   
  27.50 keV   3.761E-01  8.937E+00     841 A       113 A        92 A   
  30.00 keV   3.928E-01  9.104E+00     889 A       118 A        97 A   
  32.50 keV   4.089E-01  9.254E+00     936 A       123 A       102 A   
  35.00 keV   4.243E-01  9.388E+00     982 A       128 A       106 A   
  37.50 keV   4.392E-01  9.509E+00    1028 A       133 A       111 A   
  40.00 keV   4.536E-01  9.620E+00    1073 A       137 A       116 A   
  45.00 keV   4.811E-01  9.812E+00    1162 A       147 A       124 A   
  50.00 keV   5.071E-01  9.972E+00    1250 A       156 A       133 A   
