 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 17, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ba_Si.txt

 Ion = Barium [56] , Mass = 144 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.987E+01  1.226E+03     125 A        38 A        28 A   
  11.00 keV   5.230E+01  1.267E+03     131 A        40 A        30 A   
  12.00 keV   5.463E+01  1.306E+03     138 A        41 A        31 A   
  13.00 keV   5.686E+01  1.341E+03     144 A        43 A        32 A   
  14.00 keV   5.900E+01  1.374E+03     150 A        44 A        34 A   
  15.00 keV   6.108E+01  1.405E+03     156 A        46 A        35 A   
  16.00 keV   6.308E+01  1.434E+03     162 A        47 A        36 A   
  17.00 keV   6.502E+01  1.462E+03     167 A        49 A        37 A   
  18.00 keV   6.691E+01  1.487E+03     173 A        50 A        38 A   
  20.00 keV   7.052E+01  1.535E+03     184 A        53 A        40 A   
  22.50 keV   7.480E+01  1.587E+03     197 A        56 A        43 A   
  25.00 keV   7.885E+01  1.634E+03     210 A        59 A        46 A   
  27.50 keV   8.270E+01  1.676E+03     222 A        62 A        48 A   
  30.00 keV   8.637E+01  1.714E+03     235 A        65 A        50 A   
  32.50 keV   8.990E+01  1.748E+03     247 A        67 A        53 A   
  35.00 keV   9.329E+01  1.779E+03     258 A        70 A        55 A   
  37.50 keV   9.657E+01  1.808E+03     270 A        73 A        57 A   
  40.00 keV   9.974E+01  1.835E+03     281 A        75 A        59 A   
  45.00 keV   1.058E+02  1.882E+03     304 A        80 A        64 A   
  50.00 keV   1.115E+02  1.922E+03     326 A        85 A        68 A   
