 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\144Ce_58Ni.txt

 Ion = Cerium [58] , Mass = 144 amu

 Target Density =  8.8955E+00 g/cm3 = 9.2360E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.464E-02  3.840E+00      39 A        17 A        13 A   
  11.00 keV   9.926E-02  3.978E+00      41 A        18 A        13 A   
  12.00 keV   1.037E-01  4.106E+00      43 A        19 A        14 A   
  13.00 keV   1.079E-01  4.225E+00      45 A        20 A        15 A   
  14.00 keV   1.120E-01  4.336E+00      47 A        20 A        15 A   
  15.00 keV   1.159E-01  4.440E+00      49 A        21 A        16 A   
  16.00 keV   1.197E-01  4.537E+00      51 A        22 A        16 A   
  17.00 keV   1.234E-01  4.630E+00      52 A        22 A        17 A   
  18.00 keV   1.270E-01  4.717E+00      54 A        23 A        17 A   
  20.00 keV   1.338E-01  4.878E+00      58 A        24 A        18 A   
  22.50 keV   1.420E-01  5.059E+00      62 A        26 A        19 A   
  25.00 keV   1.496E-01  5.221E+00      66 A        27 A        20 A   
  27.50 keV   1.569E-01  5.366E+00      70 A        29 A        21 A   
  30.00 keV   1.639E-01  5.499E+00      74 A        30 A        22 A   
  32.50 keV   1.706E-01  5.620E+00      77 A        31 A        23 A   
  35.00 keV   1.771E-01  5.731E+00      81 A        32 A        24 A   
  37.50 keV   1.833E-01  5.833E+00      85 A        34 A        25 A   
  40.00 keV   1.893E-01  5.928E+00      88 A        35 A        26 A   
  45.00 keV   2.008E-01  6.099E+00      95 A        37 A        28 A   
  50.00 keV   2.116E-01  6.248E+00     102 A        40 A        30 A   
