 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 24, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\144Cs_208Pb.txt

 Ion = Cesium [55] , Mass = 144 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.699E-02  1.293E+00      53 A        43 A        33 A   
  11.00 keV   4.929E-02  1.344E+00      56 A        45 A        34 A   
  12.00 keV   5.148E-02  1.391E+00      59 A        47 A        36 A   
  13.00 keV   5.358E-02  1.435E+00      62 A        49 A        37 A   
  14.00 keV   5.560E-02  1.477E+00      65 A        51 A        39 A   
  15.00 keV   5.756E-02  1.516E+00      67 A        53 A        40 A   
  16.00 keV   5.944E-02  1.553E+00      70 A        55 A        41 A   
  17.00 keV   6.127E-02  1.588E+00      72 A        57 A        43 A   
  18.00 keV   6.305E-02  1.621E+00      75 A        58 A        44 A   
  20.00 keV   6.646E-02  1.683E+00      80 A        62 A        46 A   
  22.50 keV   7.049E-02  1.753E+00      85 A        66 A        49 A   
  25.00 keV   7.430E-02  1.816E+00      91 A        70 A        52 A   
  27.50 keV   7.793E-02  1.874E+00      97 A        73 A        55 A   
  30.00 keV   8.140E-02  1.927E+00     102 A        77 A        57 A   
  32.50 keV   8.472E-02  1.975E+00     108 A        81 A        60 A   
  35.00 keV   8.792E-02  2.020E+00     113 A        84 A        62 A   
  37.50 keV   9.100E-02  2.062E+00     118 A        88 A        64 A   
  40.00 keV   9.399E-02  2.101E+00     123 A        91 A        67 A   
  45.00 keV   9.969E-02  2.173E+00     133 A        98 A        71 A   
  50.00 keV   1.051E-01  2.236E+00     143 A       104 A        76 A   
